group_id,dataset_id,selected_edges,match_type,num_refs,num_targets,labeler,labeled_at,session_id,label_semantics,ref_ids,target_ids
3ac36248,us_boston_streets,"[{""ref_id"": ""c6c8d93d-ca6d-4ad1-9a59-b7fff21e1cb4"", ""target_id"": ""us_boston_streets_4696_882a306615""}, {""ref_id"": ""c6c8d93d-ca6d-4ad1-9a59-b7fff21e1cb4"", ""target_id"": ""us_boston_streets_8673_882a306615""}]",1:N,1,2,brad,2026-02-21T02:26:35.057842+00:00,4353a0ce,pair,,
ed93d8b9,us_boston_streets,"[{""ref_id"": ""a822ef12-7e01-4616-b7f1-984e93db8730"", ""target_id"": ""us_boston_streets_5301_882a30661d""}, {""ref_id"": ""e6cb5447-5b4a-457b-a69d-6ce3b36d6ef1"", ""target_id"": ""us_boston_streets_5301_882a30661d""}]",N:1,2,1,brad,2026-02-21T02:26:49.576186+00:00,7b387f2d,pair,,
21b67ef2,us_boston_streets,"[{""ref_id"": ""d9f2f158-f48c-4ed3-9d8f-d67ebbf41263"", ""target_id"": ""us_boston_streets_5681_882a30661d""}, {""ref_id"": ""f7a8fdc2-f9ef-4c26-a164-cf9d6e3a97a8"", ""target_id"": ""us_boston_streets_5681_882a30661d""}]",N:1,2,1,brad,2026-02-21T02:39:56.767605+00:00,3f6f5466,pair,,
efb92447,us_boston_streets,"[{""ref_id"": ""a36da67e-888c-4c4f-8200-e8d079f72008"", ""target_id"": ""us_boston_streets_10679_882a306639""}, {""ref_id"": ""a36da67e-888c-4c4f-8200-e8d079f72008"", ""target_id"": ""us_boston_streets_9991_882a306603""}]",1:N,1,2,brad,2026-02-21T02:46:58.183924+00:00,70942473,pair,,
cc0c30a0,us_boston_streets,"[{""ref_id"": ""c67b5ede-fcb3-4db3-9e21-e371115f8c6f"", ""target_id"": ""us_boston_streets_20_882a306639""}, {""ref_id"": ""29acb3ad-9e9c-4aca-85e6-482b4118b028"", ""target_id"": ""us_boston_streets_20_882a306639""}, {""ref_id"": ""d9d22d5e-f2c6-4e25-847a-f57f83670b94"", ""target_id"": ""us_boston_streets_10742_882a306639""}, {""ref_id"": ""d9d22d5e-f2c6-4e25-847a-f57f83670b94"", ""target_id"": ""us_boston_streets_20_882a306639""}]",M:N,3,2,brad,2026-02-21T05:23:46.498385+00:00,86974511,pair,,
2170ab83,us_boston_streets,"[{""ref_id"": ""89767bd5-e887-493d-9978-c486e58f5f7f"", ""target_id"": ""us_boston_streets_487_882a3066b3""}, {""ref_id"": ""5cbf08ca-be21-492d-9e97-d4254adfeca0"", ""target_id"": ""us_boston_streets_487_882a3066b3""}]",N:1,2,1,brad,2026-02-21T05:31:10.150817+00:00,d9eab59c,pair,,
3074ed80,us_boston_streets,"[{""ref_id"": ""a2be6d1c-e452-4288-b094-46356f60c67f"", ""target_id"": ""us_boston_streets_5818_882a30661d""}, {""ref_id"": ""a2be6d1c-e452-4288-b094-46356f60c67f"", ""target_id"": ""us_boston_streets_253_882a30661d""}, {""ref_id"": ""b2c3e225-c3de-47a6-913b-ad93d8fd6138"", ""target_id"": ""us_boston_streets_766_882a30661d""}, {""ref_id"": ""b2c3e225-c3de-47a6-913b-ad93d8fd6138"", ""target_id"": ""us_boston_streets_5818_882a30661d""}]",M:N,2,3,brad,2026-02-21T05:43:04.383521+00:00,7971e4df,pair,,
f452e052,us_boston_streets,"[{""ref_id"": ""b88d0172-46dc-4fe1-85b5-f29286a21b77"", ""target_id"": ""us_boston_streets_305_882a306637""}, {""ref_id"": ""b88d0172-46dc-4fe1-85b5-f29286a21b77"", ""target_id"": ""us_boston_streets_34_882a30644b""}, {""ref_id"": ""0577bd07-8584-483d-adfd-effa5595e399"", ""target_id"": ""us_boston_streets_305_882a306637""}, {""ref_id"": ""18598a00-7a45-4b4a-a1d8-8d13be22c03c"", ""target_id"": ""us_boston_streets_305_882a306637""}, {""ref_id"": ""b3c8bbdc-0216-4bc8-8af6-1c8fae2f1b46"", ""target_id"": ""us_boston_streets_6050_882a30644b""}, {""ref_id"": ""b3c8bbdc-0216-4bc8-8af6-1c8fae2f1b46"", ""target_id"": ""us_boston_streets_5185_882a30644b""}, {""ref_id"": ""25489c34-6536-40fe-ab2f-3f5cb1df8726"", ""target_id"": ""us_boston_streets_6050_882a30644b""}, {""ref_id"": ""1b670d46-c6e3-49ad-a08a-61ea60aa0c0e"", ""target_id"": ""us_boston_streets_34_882a30644b""}, {""ref_id"": ""1b670d46-c6e3-49ad-a08a-61ea60aa0c0e"", ""target_id"": ""us_boston_streets_5185_882a30644b""}, {""ref_id"": ""25eec939-55e6-4fa9-ae76-e24eaa5e22cc"", ""target_id"": ""us_boston_streets_34_882a30644b""}]",M:N,7,4,brad,2026-02-21T05:47:33.560824+00:00,09802bd2,pair,,
bb93702d,us_boston_streets,"[{""ref_id"": ""2f5e78c9-18eb-4c6f-8d85-8651b3a0f389"", ""target_id"": ""us_boston_streets_90_882a3066b3""}, {""ref_id"": ""da89b999-61e7-4650-844d-96fb020b990c"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""8c62758e-cdee-4ec5-a5f0-3a7e53c25546"", ""target_id"": ""us_boston_streets_90_882a3066b3""}, {""ref_id"": ""8c62758e-cdee-4ec5-a5f0-3a7e53c25546"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""d9569ab6-207a-4994-b5ed-9fdbe102a229"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""c45399d4-9eff-474d-9206-a6cd97b71777"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""9f68aed8-1d20-4906-b2df-487a0c6eb8bb"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""413f2bda-4b52-4538-893b-1a8f6e079297"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""b547a1f7-4df7-445d-9cf7-b0e775614f52"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""42336703-0aae-4783-b5f7-6a12614b68e6"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""5466d710-7428-4b8a-9931-b8c9afd749c0"", ""target_id"": ""us_boston_streets_9989_882a3066b3""}, {""ref_id"": ""5466d710-7428-4b8a-9931-b8c9afd749c0"", ""target_id"": ""us_boston_streets_10527_882a3066bb""}, {""ref_id"": ""a0666c82-9b3d-41d1-9923-9c85c622e630"", ""target_id"": ""us_boston_streets_10527_882a3066bb""}]",M:N,11,3,brad,2026-02-21T05:51:18.319239+00:00,4fd2bf58,pair,,
a89e4b84,us_boston_streets,"[{""ref_id"": ""de69a8be-ca78-4af9-a29b-5f1f9615b07e"", ""target_id"": ""us_boston_streets_567_882a30660b""}, {""ref_id"": ""a56e7a46-8573-49d6-8d7e-b416d004aea0"", ""target_id"": ""us_boston_streets_9342_882a30660b""}, {""ref_id"": ""001ca42e-96cc-4d20-869b-4e2e15e7d613"", ""target_id"": ""us_boston_streets_1461_882a30660b""}, {""ref_id"": ""001ca42e-96cc-4d20-869b-4e2e15e7d613"", ""target_id"": ""us_boston_streets_9342_882a30660b""}, {""ref_id"": ""83381cb5-c064-44a9-a8f5-7fa02259fbb6"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""4d62b5f4-ac7f-48ea-9779-a149fac022bc"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""0789246c-55cd-490d-bae1-d2cdebd38f7a"", ""target_id"": ""us_boston_streets_9342_882a30660b""}, {""ref_id"": ""a0dcda96-f566-4ed0-9600-4f16a602fe37"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""41d102a0-cd50-4905-8540-6598550121c4"", ""target_id"": ""us_boston_streets_9342_882a30660b""}, {""ref_id"": ""5f69cca5-1b85-406c-8a95-13ced040a9e8"", ""target_id"": ""us_boston_streets_1461_882a30660b""}, {""ref_id"": ""5f69cca5-1b85-406c-8a95-13ced040a9e8"", ""target_id"": ""us_boston_streets_3171_882a30660b""}, {""ref_id"": ""fbb2256a-af6b-4b09-9153-92738a5b30f7"", ""target_id"": ""us_boston_streets_98_882a30660b""}, {""ref_id"": ""a4a8207b-ae8a-4a05-90d3-e19a91f3d150"", ""target_id"": ""us_boston_streets_2287_882a30660b""}, {""ref_id"": ""8d147093-cf49-441f-b347-786817b5c005"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""4aba7d84-aad8-4a5d-b7bb-aae00905f283"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""e4ab3267-5524-47e9-a515-d6f52c4d1c5c"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""e4ab3267-5524-47e9-a515-d6f52c4d1c5c"", ""target_id"": ""us_boston_streets_6468_882a30660b""}, {""ref_id"": ""baecc98c-3bef-4398-962a-8b244d92ec2a"", ""target_id"": ""us_boston_streets_890_882a30660b""}, {""ref_id"": ""1fc0ff35-e6e4-42c1-8f30-3f5c8819e8bb"", ""target_id"": ""us_boston_streets_6468_882a30660b""}, {""ref_id"": ""a20eaed5-ab31-4948-bf9a-e8a02d259e95"", ""target_id"": ""us_boston_streets_998_882a30660b""}, {""ref_id"": ""ed183b67-90d9-41ed-b52a-32854a43d37d"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""6af9a980-8158-467e-aa7a-6d05726671ae"", ""target_id"": ""us_boston_streets_6468_882a30660b""}, {""ref_id"": ""6af9a980-8158-467e-aa7a-6d05726671ae"", ""target_id"": ""us_boston_streets_9278_882a30660b""}, {""ref_id"": ""b7aca022-0324-4b06-8971-6fda055f5ca9"", ""target_id"": ""us_boston_streets_890_882a30660b""}, {""ref_id"": ""b7aca022-0324-4b06-8971-6fda055f5ca9"", ""target_id"": ""us_boston_streets_9342_882a30660b""}, {""ref_id"": ""b7aca022-0324-4b06-8971-6fda055f5ca9"", ""target_id"": ""us_boston_streets_6017_882a30660b""}, {""ref_id"": ""55db3a5c-2525-45b1-887f-cc8e31c6f660"", ""target_id"": ""us_boston_streets_590_882a30660b""}, {""ref_id"": ""3af46e0f-c3ac-415d-8fb2-ac535f6cb194"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""ac7cb370-2ce5-457a-b5bb-e4858262f210"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""b41cff2d-51db-4cf6-baba-7ee1ac2707ef"", ""target_id"": ""us_boston_streets_584_882a30660b""}, {""ref_id"": ""5da0d45a-4f25-4786-9de8-bdec8b8e554b"", ""target_id"": ""us_boston_streets_98_882a30660b""}, {""ref_id"": ""5a25e758-7fbd-4429-b386-7f01a74a78f8"", ""target_id"": ""us_boston_streets_6017_882a30660b""}, {""ref_id"": ""e9423c71-e4e2-48fd-8077-4eaccef533b7"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""593d6638-4215-4dd3-a16d-90c4319e9ae5"", ""target_id"": ""us_boston_streets_584_882a30660b""}, {""ref_id"": ""593d6638-4215-4dd3-a16d-90c4319e9ae5"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""507f02da-0a55-4466-94f6-dd538e9bc8e3"", ""target_id"": ""us_boston_streets_1461_882a30660b""}, {""ref_id"": ""f31a957d-56f9-418e-9a65-df0d1a97ff21"", ""target_id"": ""us_boston_streets_1461_882a30660b""}, {""ref_id"": ""da6921cb-eb01-4638-84a7-4106412efe5c"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""da6921cb-eb01-4638-84a7-4106412efe5c"", ""target_id"": ""us_boston_streets_6468_882a30660b""}, {""ref_id"": ""9b3dc77b-a450-4193-b5a1-499f169791fd"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""154a026e-1f54-4f2e-bf93-b6bf2167a505"", ""target_id"": ""us_boston_streets_567_882a30660b""}, {""ref_id"": ""154a026e-1f54-4f2e-bf93-b6bf2167a505"", ""target_id"": ""us_boston_streets_2257_882a30660b""}, {""ref_id"": ""bbaa3013-1736-48d3-b2a7-31677546b984"", ""target_id"": ""us_boston_streets_998_882a30660b""}, {""ref_id"": ""ad758497-0837-41dc-8e3c-749744993bb5"", ""target_id"": ""us_boston_streets_98_882a30660b""}, {""ref_id"": ""ad758497-0837-41dc-8e3c-749744993bb5"", ""target_id"": ""us_boston_streets_6389_882a30660b""}, {""ref_id"": ""5bfbc330-d970-44e1-af31-75afee3e27a3"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""f6c9b841-e180-46a7-9811-2bd6cce1243a"", ""target_id"": ""us_boston_streets_4130_882a30660b""}, {""ref_id"": ""f6c9b841-e180-46a7-9811-2bd6cce1243a"", ""target_id"": ""us_boston_streets_3171_882a30660b""}]",M:N,37,16,brad,2026-02-21T06:00:02.860796+00:00,09c9a8d6,pair,,
