gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_data_version,target_data_version
4cf7960e-c6ec-4797-aace-f1c6e5134e9e,hel_road_7a455248-6c46-4c0e-a4e9-311edf858f32:3_8808996d19,match,brad,2026-02-16T17:06:15.202514+00:00,211d3854,review,0.6253297925,0.4990442305,1,0,0.6830506599,True,1771079739779851453_107510354,1771081762485123539_117601866
1baba16c-50cb-48e0-a7f2-5456e1f866dd,hel_road_de84d4bc-e576-4a60-9a66-54a8a417d56d:1_881126c355,match,brad,2026-02-16T17:06:23.109532+00:00,369acc7a,review,0.6255742908,0.6196021778,0.95091641,0,0.3592967073,True,1771079739779851453_107510354,1771081762485123539_117601866
3483e565-6466-49b5-878e-1d444840cff7,hel_road_56d5a72a-b78d-4a3e-8055-02910153b423:3_8808996807,match,brad,2026-02-19T23:21:34.272888+00:00,adde0c12,review,0.6251683235,0,0.009201285857,0.02935898508,1,True,1771079739779851453_107510354,1771081762485123539_117601866
53963abc-7b45-44e0-b1c4-59459ab05587,hel_road_c650109a-2346-49ff-8e29-77003afd20b3:1_8811269315,match,brad,2026-02-19T23:21:45.583933+00:00,320f17ce,review,0.6146664619,0.0159683226,0.9861721194,0,1,True,1771079739779851453_107510354,1771081762485123539_117601866
97a2d46d-d75d-4868-8aa6-7f55281b2ece,hel_road_5bb8bf46-7025-48e4-ae8b-e7a98ef0b9cf:2_881126c615,match,brad,2026-02-19T23:46:21.855591+00:00,afd34a5e,review,0.6360967755,0.4250095816,1,0.8816008324,1,True,1771079739779851453_107510354,1771081762485123539_117601866
07d60a7c-50e9-47d5-825b-d2adadefa6ab,hel_road_0348d481-4a2a-4fd5-9ca9-09f1437d5962:3_8811268b6d,match,brad,2026-02-20T15:26:15.241727+00:00,c7f5d485,review,0.6174027324,0,0.1604162074,0,0.5475063187,True,1771079739779851453_107510354,1771081762485123539_117601866
40c40d03-9c4a-4425-8df0-4d996736b28b,hel_road_6a167c49-b036-4c43-91e2-702083e395b6:4_881126d2e3,match,brad,2026-02-21T15:38:40.804649+00:00,0346b1d1,review,0.626039803,0,0.2593550804,0.9212782713,1,True,1771079739779851453_107510354,1771081762485123539_117601866
d96020d6-8a49-4f52-91c5-633548782547,hel_road_d56efe86-3f76-42e7-bc3c-0f3bd69ae146:1_88089968c1,no_match,brad,2026-02-21T15:38:47.873622+00:00,73ed2efc,review,0.6214703918,0,0.9182914494,0.8903679095,1,True,1771079739779851453_107510354,1771081762485123539_117601866
6ceba859-96ee-4061-a211-5e8963c42a33,hel_road_7d31928b-d4fa-4187-ac4e-f9f229c7fab3:2_8808996535,match,brad,2026-02-21T15:38:56.845427+00:00,a0ed8d54,review,0.6212447286,0,0.01235402384,0.3486381399,1,True,1771079739779851453_107510354,1771081762485123539_117601866
baf6c96a-10d3-4126-82d0-4c8f80ed594a,hel_road_31c34dc9-ad4b-48d8-b56d-fbb68525cddb:1_88112688c3,match,brad,2026-02-21T15:39:01.091129+00:00,3979dba9,review,0.6301414371,0.6129032258,1,0.9113879377,0.9959885843,True,1771079739779851453_107510354,1771081762485123539_117601866
914c33a2-1574-4fab-8245-6c540f2631c1,hel_road_2062f5cd-096f-4e62-a7c1-bad07280e736:1_8808996697,match,brad,2026-02-21T15:39:24.105319+00:00,40615a32,review,0.6321110725,1.965522331e-05,0.8086470716,0,1,True,1771079739779851453_107510354,1771081762485123539_117601866
57a00f48-90fc-42b5-b39b-0fb464bd6896,hel_road_e16b218c-6883-464d-8221-f2e73bbf220a:1_881126c8d7,match,brad,2026-02-21T16:11:34.297577+00:00,7620cd77,review,0.6329941154,0.05504104955,0.7866221725,0,0.08182475489,True,1771079739779851453_107510354,1771081762485123539_117601866
b675af20-eec9-41d0-89c7-bdbec6884780,hel_road_4b78b737-4c5c-4217-b887-2525e08827e5:1_8808996a3d,no_match,brad,2026-02-21T16:27:07.656330+00:00,8a74b227,review,0.6250540614,0,0.6488560162,0,0.9202412973,True,1771079739779851453_107510354,1771081762485123539_117601866
01c9698c-7646-46fd-b0a7-2487f303b426,hel_road_cc455382-d05b-4e9d-9311-94946c815e55:1_8808996b55,match,brad,2026-02-21T16:27:17.155403+00:00,13699b45,review,0.6249024272,0,0.02042117144,0.969520536,1,True,1771079739779851453_107510354,1771081762485123539_117601866
69914c2e-d9c0-43b6-ba0e-ec70f50d77f0,hel_road_dde4bd18-c6a6-4ac4-b094-ac7e4b8a828d:3_881126d605,match,brad,2026-02-21T16:27:20.445052+00:00,315d62e0,review,0.6239067316,0,0.01811587528,0.9623742734,1,True,1771079739779851453_107510354,1771081762485123539_117601866
80bd6e47-e76e-4c00-ab59-0b04d4251478,hel_road_b9322b2c-1e3e-4ae3-8047-15c0f59af664:4_881126d72d,match,brad,2026-02-21T16:27:22.992627+00:00,06000b68,review,0.6262601018,0,0.2030945823,0,0.07676129401,True,1771079739779851453_107510354,1771081762485123539_117601866
714f1538-c88c-4ca1-a361-4a9befbef1c4,hel_road_1b298f01-6b44-40a2-a777-ccadec85f1aa:4_881126d1d5,match,brad,2026-02-21T16:27:34.785079+00:00,0f6ba53d,review,0.6282362342,0.6084647566,1,0,0.2613732003,True,1771079739779851453_107510354,1771081762485123539_117601866
c4d540ec-0fef-447a-a89e-2f49f8927441,hel_road_f52cca3d-44bb-4f9e-ad9a-34ee3095a13c:2_880899698b,match,brad,2026-02-21T16:27:38.377731+00:00,974751f8,review,0.6299327612,0.8652012273,0.9956516525,0.9006283784,1,True,1771079739779851453_107510354,1771081762485123539_117601866
e3b65c6c-ea7c-4a81-b516-7cec1de4b996,hel_road_ab60e1fd-ef4e-4da7-8137-0f818699caac:3_881126d0dd,match,brad,2026-02-21T16:27:41.404532+00:00,92f1a6f0,review,0.6327098012,0.0004156660847,1,0.480040608,1,True,1771079739779851453_107510354,1771081762485123539_117601866
5426470a-b28d-4b19-b4c4-a60458951dac,hel_road_f2073920-6b83-4170-a25d-bbc5b678db9a:4_881126d747,match,brad,2026-02-21T16:27:52.906471+00:00,c200f2fd,review,0.6151947975,0,0.3340075148,0,0.2048177463,True,1771079739779851453_107510354,1771081762485123539_117601866
1a47f3cd-32da-4136-80f4-074175fdcfef,hel_road_687d16af-7105-4f6b-8306-ed84903238ff:1_881126d2c1,match,brad,2026-02-21T16:27:54.998869+00:00,57ef41c3,review,0.6363199949,0.7105722454,0.9846816198,0.03225806452,1,True,1771079739779851453_107510354,1771081762485123539_117601866
ee52bf25-21c6-4bd0-8887-d247eb9e12b0,hel_road_2dd60455-c5dc-4248-a5a8-d3c226dd13ac:2_881126c223,no_match,brad,2026-02-21T18:19:16.144464+00:00,3aef0949,review,0.6261325479,0,0.06889056785,0,0.0748479407,True,1771079739779851453_107510354,1771081762485123539_117601866
12f2d077-083b-449b-bd90-dcdc9a8283d4,hel_road_14df8677-bc66-4541-85ff-dd8f28e38416:1_8808996ec7,match,brad,2026-02-21T18:19:23.345884+00:00,750ae736,review,0.6223722696,0,1,0.01808120731,0.9551601445,True,1771079739779851453_107510354,1771081762485123539_117601866
35cef7d8-a39b-4c2d-ae38-863e922d2b46,hel_road_da1bca0a-8528-461a-b80f-462fa46c1c53:1_88089968bb,match,brad,2026-02-21T18:19:32.153512+00:00,481833e1,review,0.6300138831,0.6414971773,1,0,0.2298761952,True,1771079739779851453_107510354,1771081762485123539_117601866
ec9c32eb-23bc-474f-aeb3-d589aca1d6bf,hel_road_457a448e-c0b9-4111-a458-5ddc39bc9704:3_8808997949,match,brad,2026-02-21T18:19:57.405317+00:00,54e67072,review,0.6313298941,0.9578299895,0.986028412,0,1,True,1771079739779851453_107510354,1771081762485123539_117601866
268b448c-be62-4d33-bd0e-a741c6fc3816,hel_road_1d7697d7-c658-4583-861a-a35a6d67bc65:1_881126d00d,match,brad,2026-02-21T18:21:44.424515+00:00,cb5059dd,review,0.6183111668,0,1,0.00505606367,0.7384134478,True,1771079739779851453_107510354,1771081762485123539_117601866
90225bf8-da66-4776-b27c-f85e0248dbbb,hel_road_39403307-b306-4418-aef4-920ea1805dee:2_8808996a09,match,brad,2026-02-21T18:21:56.449403+00:00,540ec125,review,0.6137906313,0.7545396159,1,0,0.8720163551,True,1771079739779851453_107510354,1771081762485123539_117601866
d44b1645-24fe-4938-9099-1180cd3f4ed0,hel_road_ed128684-83fe-4e51-b35d-fbaa816ada5c:3_880899690b,match,brad,2026-02-21T18:22:37.282509+00:00,3200ac71,review,0.6115993857,0.7948504476,1,0.6208653696,1,True,1771079739779851453_107510354,1771081762485123539_117601866
e4c97097-3d64-459d-a9b3-70522a7d53a0,hel_road_32e9ebe6-30ec-43cf-8a54-9e2ceadd4010:1_8811268921,match,brad,2026-02-21T18:22:59.897569+00:00,9f20287f,review,0.6385563016,0,0.02667253793,0,0.1361203867,True,1771079739779851453_107510354,1771081762485123539_117601866
9cef4279-5fd4-42ed-a0b3-34e86e7dc2bd,hel_road_0951312d-7c57-464a-8eca-0e3a8d3982a6:1_8808996a11,match,brad,2026-02-21T18:23:15.680446+00:00,10ec5bb2,review,0.6113395691,0,0.227759405,0.5796827992,1,True,1771079739779851453_107510354,1771081762485123539_117601866
60ccd4fa-9676-49d6-af3e-b1b8360aa2f2,hel_road_32ecbf16-7bdf-4aad-bb35-f7cad00ce8b6:3_881126d08d,match,brad,2026-02-21T18:23:37.126228+00:00,99e8f653,review,0.6098835468,0,0.09425775836,0,0.6046064808,True,1771079739779851453_107510354,1771081762485123539_117601866
8b48f61c-2c92-4b03-9515-61db209b4a53,hel_road_dfd4fe2a-c44e-4322-83a1-bb8c361e4111:3_881126d0d9,match,brad,2026-02-21T18:23:54.674849+00:00,59355c41,review,0.6407219172,0.003531509297,0.05755006413,0,1,True,1771079739779851453_107510354,1771081762485123539_117601866
07c2a30c-978d-4d55-9a28-9158a6990c7a,hel_road_a76ba858-9f56-4097-af06-dd04cc3c7b8f:1_8808996981,match,brad,2026-02-21T18:24:28.787079+00:00,2222f278,review,0.6088507771,0,0.04807843615,0,0.07858929434,True,1771079739779851453_107510354,1771081762485123539_117601866
325e9f26-2390-4346-9dae-e2f8c05e6bb2,hel_road_c300222e-efab-47b0-b2bb-318d2707e484:2_8808996db5,match,brad,2026-02-21T18:24:32.527182+00:00,ddd14250,review,0.6477890611,0,0.8925563554,0.0321818204,0.9976364323,True,1771079739779851453_107510354,1771081762485123539_117601866
