gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,start_endpoint_proximity_m,end_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_consistency,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,buffer_iou,overlap_ratio,heading_delta,length_ratio,projection_distance_m,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match
e15c7130-a3fc-4b93-85ad-745117e9a134,frisco_trail_111,match,brad,2026-01-19T02:20:06.580581+00:00,1e4f9d59,review,0.4991486028,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,0.0,0.0,3,64.05063763,98.58110926,0.9998793785,0.6216456924,0.6216456924,0.6217206852,26.30115955,0.9273166677999999,0.998815539,1,0.8362888171,0.9610737188,0.9273166677999999,12.94623239,1,3,3,2,3,0.9090909091,0.3333333333,0,0,1,1,1,1
d77585c8-84f5-4b07-9f30-d86e8097ee4b,frisco_trail_453,match,brad,2026-01-19T02:20:13.982003+00:00,1e4f9d59,review,0.4989491412,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,0.0,0.9697865489,2,1.228178552,2.34393725,0.3267641619,0.9191010233,0.3267641619,0.3555258384,1.5830086909999999,0.5383982092,0.9988726422,1,0.02242392453,0.9893693341,0.5383982092,0.8041234923,1,4,2,2,2,0.8,0.3333333333,0,0,1,1,0,0
6f48f797-2d21-40de-b1d0-b021a240e5cf,frisco_trail_32,no_match,brad,2026-01-19T02:20:21.931206+00:00,1e4f9d59,review,0.4987077199,0.0,1.0,0,1,False,0.4,0.606362773,0.4444444444,0.0,0.0,0.0,2,13.46227741,7.977855037,0.959279402,0.8116177927,0.8116177927,0.8460702804,11.349843139999999,9.464762968,0.9992878201,1,1.075988913,0.9987193947,9.464762968,9.60136278,1,3,3,2,2,0.8,0.0,0,0,1,1,0,0
88cdeded-5312-44c4-9b79-a41baf18c0e4,frisco_trail_31,no_match,brad,2026-01-19T02:20:25.102072+00:00,1e4f9d59,review,0.4983422052,0.0,1.0,0,1,False,0.4,0.606362773,0.4444444444,0.0,0.0,0.0,2,13.9239448,9.678202512,0.9788336403,0.8747580586,0.8747580586,0.8936738815,13.22457088,10.07432249,0.9991756831,1,0.8553549861,0.9973520698,10.07432249,10.11450161,1,3,3,2,2,0.8,0.0,0,0,1,1,0,0
1fe93b10-fb3c-4f7b-ab12-3cd9c90f6ab5,frisco_trail_518,no_match,brad,2026-01-19T02:20:28.019628+00:00,1e4f9d59,review,0.4980251714,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,0.0,0.0,2,17.66626515,4.749711765,1.0,0.9197999416,0.9197999416,0.9197999416,27.01913235,17.08602821,0.9990679576,1,5.890033409,0.9835413303,17.08602821,19.64058996,1,3,2,2,2,0.8888888889,0.3333333333,0,0,1,1,0,0
dee586c3-94e2-407f-b38f-dfeaed4aeeaf,frisco_trail_450,no_match,brad,2026-01-19T02:20:32.766923+00:00,1e4f9d59,review,0.4973368163,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,0.0,inf,1,7.845934781,5.359971719,0.6116407349,0.9389752446,0.6116407349,0.6513917576,17.02464617,9.082060478,0.9987972731,1,42.07397178,0.8943170084,9.082060478,7.871696453,1,3,3,2,1,0.6666666667,0.0,0,1,0,1,0,0
27dc7cd5-c959-42d3-9937-0f2d699cff05,frisco_trail_335,no_match,brad,2026-01-19T02:20:35.664889+00:00,1e4f9d59,review,0.4962923012,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,inf,inf,0,16.26469565,11.10466834,0.04327613593,0.03649547175,0.03649547175,0.8433163212,1.021368116,0.6105927848,0.9989146353,1,88.07257145,0.938481918,0.6105927848,0.494755776,1,1,1,1,1,1.0,1.0,1,1,1,0,0,1
6660b607-3d97-4019-9806-297b11c465db,frisco_trail_38,no_match,brad,2026-01-19T02:20:55.963842+00:00,1e4f9d59,review,0.4953574887,0.0,1.0,0,1,False,0.4,0.606362773,0.4444444444,0.0,0.0,0.0,3,24.55642571,24.05773451,1.0,0.5489287882,0.5489287882,0.5489287882,11.68130846,8.854307095,0.9994424107,1,0.3351983722,0.9912379903,8.854307095,8.87420968,1,3,3,3,2,0.9090909091,0.3333333333,0,0,1,1,1,1
36e963a7-80fd-4c2b-b997-c4f0f2050663,frisco_trail_55,match,brad,2026-01-19T02:21:05.649852+00:00,1e4f9d59,review,0.4949488787,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,0.0,0.0,2,0.6226814509,0.4967687761,0.3513520031,1.0,0.3513520031,0.3513520031,2.433307966,0.6522765035,0.9989420426,1,0.1089803481,0.9996080415,0.6522765035,0.5948366169,1,1,2,2,2,0.8571428571,0.3333333333,1,0,0,0,0,1
3febf18d-29fe-4d6b-a9bc-e61d2e1cce11,frisco_trail_17,no_match,brad,2026-01-19T02:21:07.566980+00:00,1e4f9d59,review,0.4938071036,0.0,1.0,0,1,False,0.5,0.5,0.5,1.0,inf,inf,0,19.41643809,9.326987588,1.0,0.1518317789,0.1518317789,0.1518317789,15.464318550000002,6.572855992999999,0.9994277493,1,56.75649207,0.9317863828,6.572855992999999,8.764502789,1,4,1,1,1,0.5714285714,0.3333333333,1,1,1,1,0,0
