gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment
1fe424ca-72bf-43ce-be61-dec8adb749be,boston_sidewalk_72814_882a306639,no_match,brad,2026-01-14 04:22:42.195838+00:00,4435904e,no_match,0.4999783125,0.0,0.4035080142,0.0,0.9559654234,True
410eb133-8acf-4c16-ac77-e06c025f017b,boston_sidewalk_102253_882a306603,no_match,brad,2026-01-14 04:22:49.976464+00:00,4435904e,no_match,0.4999700659,0.02487422206,1.0,0.546069888,1.0,True
2f298f0d-e95a-4c05-89a3-f0ba2c7cc9f7,boston_sidewalk_102723_882a306607,match,brad,2026-01-14 04:37:22.054986+00:00,00b607d3,review,0.7497268972,0.01089455826,1.0,0.3938332224,1.0,True
707ea39b-0db1-48ae-8e9d-af82e3ee1c61,boston_sidewalk_12897_882a306603,match,brad,2026-01-14 04:37:30.785292+00:00,00b607d3,review,0.7495926371,0.2011552734,0.9410407884,0.0,1.0,True
0f13a367-aadd-4e71-a5ca-a47769c3f6fb,boston_sidewalk_1295_882a306601,match,brad,2026-01-14 04:37:50.376010+00:00,00b607d3,review,0.749210954,0.0,1.0,0.02596822877,0.8815092524,True
a9bdfa12-1d91-4e6c-9bbb-4e18847329df,boston_sidewalk_12330_882a30661d,no_match,brad,2026-01-14 04:37:58.028684+00:00,00b607d3,review,0.7491776343,0.05580390859,0.9329947469,0.0,1.0,True
6191ec57-07d1-4636-81d5-792adbe02967,boston_sidewalk_103004_882a30660b,match,brad,2026-01-14 04:38:01.427896+00:00,00b607d3,review,0.7490810252,0.0154466855,1.0,0.3266109462,1.0,True
9e6722e8-5308-47fa-aa55-0076f328a3f0,boston_sidewalk_102307_882a306601,match,brad,2026-01-14 04:38:04.306303+00:00,00b607d3,review,0.7490336766,0.0,0.7483404334,0.0,0.9799099574,True
c69d1947-708d-40cb-894c-6618712ca926,boston_sidewalk_1884_882a306615,match,brad,2026-01-14 04:38:07.543161+00:00,00b607d3,review,0.7489199703,0.05204364774,1.0,0.2150528246,1.0,True
fc6d3475-ca3e-4160-a377-f209a43686ce,boston_sidewalk_12701_882a306603,match,brad,2026-01-14 04:38:16.796317+00:00,00b607d3,review,0.7488968504,0.0,1.0,0.4173159444,0.93012074,True
7d978f23-01d2-413b-8025-2663a76ca5e8,boston_sidewalk_5555_882a306639,no_match,brad,2026-01-14 04:38:27.772553+00:00,00b607d3,no_match,0.4999390325,0.0,0.0256989427,0.9137631915,1.0,True
d65fedc4-fc2a-4cf9-8774-df43cb94b519,boston_sidewalk_59225_882a306639,no_match,brad,2026-01-14 04:38:38.635243+00:00,00b607d3,no_match,0.4998731066,0.0,0.920597898,0.1295179745,1.0,True
2640d786-cf4d-4e82-84f4-edaea28ca331,boston_sidewalk_2134_882a30660b,no_match,brad,2026-01-14 04:38:41.641137+00:00,00b607d3,no_match,0.4998667749,0.03722046799,1.0,0.021162966,1.0,True
7f74f8b6-5faf-42d7-8f1a-2f603660c77c,boston_sidewalk_103633_882a306615,no_match,brad,2026-01-14 04:38:45.678333+00:00,00b607d3,no_match,0.4997795996,0.025260718,0.6688888042,0.0,1.0,True
2b8fab81-345b-4508-9e07-98f9df710f06,boston_sidewalk_103803_882a306603,match,brad,2026-01-14 04:38:48.529349+00:00,00b607d3,no_match,0.4997769794,0.07951875982,0.6195221811,0.0,1.0,True
667fdd7c-8500-4169-890d-8dde6bcca7a5,boston_sidewalk_103957_882a306615,no_match,brad,2026-01-14 04:38:52.121506+00:00,00b607d3,no_match,0.499670434,0.03681942295,0.5297482508,0.0,1.0,True
560d7684-bc1d-4294-9f3f-844d21865f45,boston_sidewalk_73059_882a306603,no_match,brad,2026-01-14 04:39:00.407330+00:00,00b607d3,no_match,0.4996552887,0.0,0.8702492818,0.06891485735,1.0,True
4c826e33-fde9-45de-967a-2338799e936a,boston_sidewalk_103622_882a30660b,no_match,brad,2026-01-14 04:39:02.124619+00:00,00b607d3,no_match,0.4995866236,0.9109001926,1.0,0.0,0.02545519338,True
