gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,same_anchor,same_side,same_anchor_and_side,start_endpoint_proximity,end_endpoint_proximity,shared_endpoint_count,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance,mean_hausdorff_distance,buffer_iou,overlap_ratio,heading_delta,length_ratio,projection_distance,centroid_distance,collinear_gap_ratio
1fe424ca-72bf-43ce-be61-dec8adb749be,boston_sidewalk_72814,no_match,brad,2026-01-14 04:22:42.195838+00:00,4435904e,no_match,0.4999783124730357,0.06,0.39,0.0,0.89,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4,3,6,3,0.875,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.39111767918913215,0.9107077547110659,0.39111767918913215,0.4294656295237317,8.518423043940496e-05,7.102426761222978e-05,0.9988675575885982,1.0,4.442023254126923,0.999999999989882,7.102426761222978e-05,6.868600094500147e-05,1.0
410eb133-8acf-4c16-ac77-e06c025f017b,boston_sidewalk_102253,no_match,brad,2026-01-14 04:22:49.976464+00:00,4435904e,no_match,0.499970065866771,0.03,1.0,0.55,1.0,True,0.0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,0.0,5.0,3,6,3,4,0.875,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.9727717476992327,0.4529057966614335,0.4529057966614335,0.4655828026796946,0.00011516254848320939,0.00011000011981506476,0.9993164138607983,1.0,0.8425201744836386,0.9999999999913041,0.00011000011981506476,0.00010807480413446791,1.0
2f298f0d-e95a-4c05-89a3-f0ba2c7cc9f7,boston_sidewalk_102723,match,brad,2026-01-14 04:37:22.054986+00:00,00b607d3,review,0.749726897164839,0.07,1.0,0.4,0.98,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3,3,3,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9609092894503543,0.5983783532530819,0.5983783532530819,0.6227209579744596,1.1524804590173153e-05,4.052336952791357e-06,0.9994576912557295,1.0,6.95590695939444,0.9999999999147089,4.052336952791357e-06,3.6796661985559306e-07,1.0
707ea39b-0db1-48ae-8e9d-af82e3ee1c61,boston_sidewalk_12897,match,brad,2026-01-14 04:37:30.785292+00:00,00b607d3,review,0.7495926370639382,0.2,0.94,0.0,1.0,True,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,5.0,2,3,4,3,0.8333333333333334,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.7410970115272189,1.0,0.7410970115272189,0.7410970115272189,1.4305936991066837e-05,1.0159884368892598e-05,0.99929209385028,1.0,1.1675686381153696,0.9999999999967839,1.0159884368892598e-05,7.352025537750616e-06,1.0
0f13a367-aadd-4e71-a5ca-a47769c3f6fb,boston_sidewalk_1295,match,brad,2026-01-14 04:37:50.376010+00:00,00b607d3,review,0.7492109539948693,0.0,0.94,0.0,0.81,True,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,4.0,5,4,3,3,0.8,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9424168499679743,0.8093567161092919,0.8093567161092919,0.8588096829304315,4.2282570853414966e-05,4.1056258238991844e-05,0.9993816486909396,1.0,0.6478367041895012,0.9999999999803817,4.1056258238991844e-05,4.086952075460651e-05,1.0
a9bdfa12-1d91-4e6c-9bbb-4e18847329df,boston_sidewalk_12330,no_match,brad,2026-01-14 04:37:58.028684+00:00,00b607d3,review,0.7491776343099891,0.05,0.93,0.0,1.0,True,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,7.0,4,1,5,5,0.6666666666666667,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8758180022341597,1.0,0.8758180022341597,0.8758180022341597,2.433988124107979e-05,2.1132908262772515e-05,0.9993957375557115,1.0,0.39624480430720155,0.9999999999999084,2.1132908262772515e-05,2.2693226816145802e-05,1.0
6191ec57-07d1-4636-81d5-792adbe02967,boston_sidewalk_103004,match,brad,2026-01-14 04:38:01.427896+00:00,00b607d3,review,0.7490810251917742,0.0,1.0,0.36,0.99,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,3,8,3,3,0.7058823529411764,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.9574431279442629,0.6470483345312258,0.6470483345312258,0.6758086361959803,1.1624624236950299e-05,7.539955699118188e-06,0.9997469224974173,1.0,0.5885220470809429,0.9999999999867399,7.539955699118188e-06,8.927473207151042e-06,1.0
9e6722e8-5308-47fa-aa55-0076f328a3f0,boston_sidewalk_102307,match,brad,2026-01-14 04:38:04.306303+00:00,00b607d3,review,0.7490336766010044,0.0,0.77,0.02,0.97,True,0.0,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,4.0,3,1,5,3,0.6666666666666667,0.3333333333333333,1.0,0.0,0.0,1.0,1.0,1.0,0.7659203430277717,0.9725216149934446,0.7659203430277717,0.7875612543922065,8.798599728682273e-06,2.8137406156433473e-06,0.9992029438852104,1.0,0.5882495283264007,0.9999999999745878,2.8137406156433473e-06,4.64133407682629e-06,1.0
c69d1947-708d-40cb-894c-6618712ca926,boston_sidewalk_1884,match,brad,2026-01-14 04:38:07.543161+00:00,00b607d3,review,0.7489199702990011,0.05,1.0,0.25,1.0,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4,2,5,5,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9519181612987275,0.765531679638999,0.765531679638999,0.8041990485763646,4.071829726114424e-05,1.8269551217817803e-05,0.9991621461066175,1.0,11.700800609018643,0.9999999999844522,1.8269551217817803e-05,1.748288623956375e-05,1.0
fc6d3475-ca3e-4160-a377-f209a43686ce,boston_sidewalk_12701,match,brad,2026-01-14 04:38:16.796317+00:00,00b607d3,review,0.7488968504201028,0.0,1.0,0.42,0.94,True,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,3,4,5,3,0.9333333333333332,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5178038760955657,0.5178038760955657,0.5178038760955657,4.12992945457029e-06,2.8399929558849503e-06,0.9988035474291352,1.0,2.581875183881607,0.9999999998622249,2.8399929558849503e-06,2.8529870877816385e-06,1.0
