ref_id,target_id,label,confidence,reasoning
0277e6ae-7ddc-4500-98ec-fbdb18657c21,fc_street_5893,no_match,1.0,The segments are nearly perpendicular and do not overlap.
02cc6f96-02e3-4d43-a269-f4e33e5c7943,fc_street_6430,no_match,0.95,Segments represent perpendicular intersecting roads rather than the same physical segment
04a7a38a-b1ad-4d75-bb63-7f8189ed2b91,fc_street_914,match,1.0,Segments overlap significantly and names are identical.
04d2c9b1-ba7b-44df-9c44-711d696ecd3c,fc_street_1181,no_match,1.0,Segments represent different streets meeting at an intersection with no spatial overlap.
05e95073-9bad-4b0d-ae99-d41104c0ea0f,fc_street_10465,no_match,1.0,Segments have different headings and no spatial overlap.
08193f55-e315-494c-b1e6-f6094d0cacc2,fc_street_9686,no_match,1.0,The blue segment is a short service road perpendicular to the red residential street.
091a76e3-ee8e-41e3-a9b9-80e82e02016d,fc_street_1783,match,1.0,Segments overlap nearly perfectly and have matching street names.
09793488-9b24-4a82-b9e1-f79d2c221c3d,fc_street_2867,match,0.95,Segments follow the same distinctive curved geometry with 1.0 overlap ratio.
0b734360-9567-434b-8ebe-a48ff309702a,fc_street_7384,no_match,0.95,Segments are sequential and do not overlap representing different portions of the road.
0bba69cf-82be-46e7-b2f2-fe1e744fff6c,fc_street_9256,no_match,1.0,Segments are spatially distant with no overlap and different classes
126e5b03-039d-4a79-96b2-981003d43312,fc_street_10036,no_match,0.95,Segments are adjacent longitudinal parts of the same road with minimal overlap.
18480585-b459-4a50-a7a5-702adee68389,fc_street_3510,no_match,0.95,Parallel segments with significant offset indicating separate physical road network elements.
18ce3ae2-fd1d-4579-acbb-7ffcbd53603e,fc_street_4872,no_match,0.95,Segments are contiguous and collinear but represent distinct consecutive sections of the road network with no geometric overlap.
1a802bb9-be4d-4c05-a713-f01308119c4c,fc_street_1192,no_match,0.95,Segments are end-to-end and do not overlap representing different sections of the road.
1ce9bafc-4a79-492e-8ec7-5af173290bc1,fc_street_8711,no_match,1.0,Segments are perpendicular and represent different paths.
1d584221-0b4f-4b49-b1d9-2bd2ee4fb281,fc_street_7275,no_match,1.0,Segments are perpendicular intersecting paths
1ed3439f-ec06-4dc3-93b1-3c46fb367dda,fc_street_8353,no_match,1.0,Perpendicular streets intersecting at a common point with different names (Drive vs Court)
206d0385-996b-4895-96b2-1a64e19f6e0b,fc_street_4912,no_match,0.95,Segments are disjoint with zero overlap and significant separation.
