dataset,gers_id,target_id,label,y_pred,match_prob,pred_confidence,is_fp,is_fn,name_jaro_winkler,buffer_iou_5m,hausdorff_distance_m,class_similarity,lateral_offset_m,min_coverage
br_sao_paulo_roads,e5651909-29fb-4773-8d53-7bde81349e0a,sp_road_32187,match,0,0.07012394,0.9298761,False,True,0.6271929824561404,0.20193319204926102,11.533061337462327,0.8,6.62211677525804,0.2840845316715306
au_sydney_roads,53e1c28c-270a-444b-96b5-4e21183d81fa,au_sydney_403794,no_match,1,0.9265605,0.9265605,True,False,0.8727272727272728,0.6459336760030435,1.924120034855296,1.0,1.9137905117836256,0.0550850632664803
au_sydney_roads,4675d553-0520-4c3c-a4ee-9a3d5fa10e43,au_sydney_2333328,match,0,0.09552166,0.9044783,False,True,0.5,0.6519961714597314,2.766870493432331,0.8,1.7853562100657479,0.06126919027634745
au_sydney_roads,b094d6d4-68c6-42bf-b810-4ece5c337e04,au_sydney_2258051,no_match,1,0.88866353,0.88866353,True,False,0.9166666666666667,0.9869179942091709,0.10886824395889948,1.0,0.06052162596362345,0.02204283297913867
br_sao_paulo_roads,a3438e98-12b0-4b09-b349-f980d3720985,sp_road_167690,match,0,0.13731657,0.8626834,False,True,0.5,0.5249063733915222,2.9466752902312403,0.1,2.799722074628942,0.05948732110764704
br_sao_paulo_roads,b64fe0e9-55ac-4b03-9d8e-5d0e5f26f4f7,sp_road_173530,match,0,0.13920654,0.8607935,False,True,0.5,0.49026073861265623,6.2513477898355205,0.0,3.3046660384793896,0.04436860788078145
au_sydney_roads,6c77b465-edab-455a-90cb-3db70712937c,au_sydney_509544,no_match,1,0.8516125,0.8516125,True,False,0.9444444444444444,0.6147456204113778,2.2753061901914973,0.8,2.196607822785721,0.041704551695366465
au_sydney_roads,b6ae2ed3-e943-4e7b-b7c4-228fef9e5fb1,au_sydney_2504141,no_match,1,0.84255797,0.84255797,True,False,0.5,0.7020224700938057,2.586207737169789,1.0,1.7575101857555844,0.027255128749899993
au_sydney_roads,b5c675eb-329a-4794-b42a-4274be27fd94,au_sydney_1964756,no_match,1,0.82750165,0.82750165,True,False,0.8833333333333334,0.6587423771622267,1.8299320979039724,1.0,1.7500355171124342,0.02000336678239446
br_sao_paulo_roads,2cdf7676-bb28-474b-8944-e69b46b66f6d,sp_road_97625,no_match,1,0.8049322,0.8049322,True,False,0.42380952380952386,0.9142790319917384,0.8510554835251605,0.7,0.4421013372885804,0.15681987290625612
au_sydney_roads,a3bcdec8-bdcc-441e-981c-099c4d3f77c6,au_sydney_856486,no_match,1,0.7780941,0.7780941,True,False,1.0,0.6807786254319306,1.9443660262159257,1.0,1.2516956251490323,0.0223843868287269
br_sao_paulo_roads,5f85e731-7f44-44ee-8387-e01d68883b6a,sp_road_66067,no_match,1,0.7650323,0.7650323,True,False,0.542016806722689,0.4465737872287322,5.718830066744857,0.8,3.6163420386334857,0.6249589552858867
br_sao_paulo_roads,a32de7ae-d473-4015-95c9-8e04a99366a3,sp_road_123107,match,0,0.2483564,0.7516436,False,True,0.42229484386347127,0.4708770291273764,6.06830545611959,1.0,3.592530016037793,0.319221480660424
au_sydney_roads,d6a1406f-17d6-4fc2-9512-23ede2dc5542,au_sydney_840709,no_match,1,0.74603194,0.74603194,True,False,0.8545454545454545,0.3634638110450583,4.878279345873826,0.7,4.510803788403912,0.49409835924347
au_sydney_roads,2c9f418a-bb1c-4b3b-9488-1b7d76edac18,au_sydney_2794725,no_match,1,0.742321,0.742321,True,False,0.5,0.6089752834566748,2.3534191604388597,1.0,2.284950231763185,0.017193459906128583
au_sydney_roads,b1b03891-4040-4fe5-8203-9f95f9e8cc12,au_sydney_842610,no_match,1,0.7270143,0.7270143,True,False,0.5,0.35253269694259204,8.137143753336021,1.0,4.831529120845272,0.19228141620688433
br_sao_paulo_roads,e27b64a1-7a1c-4568-b5d4-b916089f59b8,sp_road_6270,no_match,1,0.717028,0.717028,True,False,0.5211834733893558,0.3269876812636003,7.41034608040887,1.0,4.912158889763133,0.09343450881331061
