gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,graphlet_similarity,endpoint_degree_similarity,ref_data_version,target_data_version,feature_version,sinuosity_ref,sinuosity_target,sinuosity_delta,heading_consistency_ref,heading_consistency_target,heading_consistency_delta,vertex_density_ref,vertex_density_target,vertex_density_ratio,min_length_m,shape_complexity_ref,shape_complexity_target,shape_complexity_delta,name_numeric_match
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,us_boston_streets_10067,match,Brad,2026-01-12 03:00:54.867714+00:00,5172f404,review,0.749867413,1.0,1.0,1.0,0.6,0.05773757196,1.0,0.0,0.9778175466,True,0.942262428,0.9778175466,0.942262428,0.9636382894,1.972387084,1.313769587,1.949146434,0.8116115389,0.932825129,1.345780676,1.0,0.8260301527,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,7,1.021562574,0.8094576405,1.883670993,0.9616666667,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.001642449,1.0,0.001642449134,0.9825564539,0.9999998612,0.01744340732,0.1136603297,0.04262262365,0.375,70.38515565,0,0,0,0.5
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,us_boston_streets_10067,match,Brad,2026-01-12 03:04:04.020630+00:00,e6517946,review,0.749867413,1.0,1.0,1.0,0.6,0.05773757196,1.0,0.0,0.9778175466,True,0.942262428,0.9778175466,0.942262428,0.9636382894,1.972387084,1.313769587,1.949146434,0.8116115389,0.932825129,1.345780676,1.0,0.8260301527,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,7,1.021562574,0.8094576405,1.883670993,0.9616666667,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.001642449,1.0,0.001642449134,0.9825564539,0.9999998612,0.01744340732,0.1136603297,0.04262262365,0.375,70.38515565,0,0,0,0.5
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,us_boston_streets_10067,match,Brad,2026-01-12 03:07:07.535396+00:00,6caa76cb,review,0.749867413,1.0,1.0,1.0,0.6,0.05773757196,1.0,0.0,0.9778175466,True,0.942262428,0.9778175466,0.942262428,0.9636382894,1.972387084,1.313769587,1.949146434,0.8116115389,0.932825129,1.345780676,1.0,0.8260301527,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,7,1.021562574,0.8094576405,1.883670993,0.9616666667,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.001642449,1.0,0.001642449134,0.9825564539,0.9999998612,0.01744340732,0.1136603297,0.04262262365,0.375,70.38515565,0,0,0,0.5
fa0505a8-2b9e-4114-a050-932048fb8efd,us_boston_streets_69,match,Brad,2026-01-12 03:07:10.816326+00:00,6caa76cb,review,0.7487277183,1.0,1.0,1.0,0.8,0.0,1.0,0.1294936228,0.9909317191,True,1.0,0.8614380963,0.8614380963,0.8614380963,2.52236732,1.695745851,2.425410345,0.7377485254,0.9004306516,1.824408034,1.0,1.470807285,1.0,3,3,4,3,0.9230769231,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,6,1.460535836,1.041726568,2.381593192,0.985,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.002889417,1.002820528,6.888906209e-05,0.9609446162,0.9674974842,0.006552867987,0.1119232239,0.0746154826,0.6666666667,53.60817703,0,0,0,0.5
9ca5b5d8-d558-4f71-a37a-4585f976618d,us_boston_streets_10277,match,Brad,2026-01-12 03:07:12.530971+00:00,6caa76cb,review,0.7482906417,1.0,1.0,1.0,1.0,0.005351930908,1.0,0.0,0.9975371908,False,0.9946480691,0.9975371908,0.9946480691,0.9971037454,3.567528661,3.138869144,3.551871431,0.5331833118,0.8116920168,0.2454428926,0.9975371908,3.0169772,1.0,4,4,3,4,0.9333333333,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,6,3.012454107,0.2602456927,3.447268638,0.9,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.000007879,1.000021483,1.360341943e-05,0.9996317014,0.9994695587,0.000162142718,0.03723145704,0.01591704131,0.4275159389,188.0130555,0,0,0,0.5
83413653-0c09-4b07-a901-0bf14d5ee98f,us_boston_streets_7561,match,Brad,2026-01-12 03:08:01.768886+00:00,6caa76cb,review,0.7467537419,1.0,1.0,1.0,0.6,0.2861238581,0.8836038229,0.0,1.0,True,0.5974799648,1.0,0.5974799648,0.5974799648,4.275680052,1.936923631,4.217420177,0.680756318,0.8466076628,17.80187586,1.0,0.5440894179,1.0,4,3,4,3,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,6,1.72274803,1.994969165,3.772854569,0.9316666667,1.0,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.031474576,1.0,0.03147457594,1.0,1.0,0.0,0.2813830202,0.1125532081,0.4,17.76937356,3,0,3,0.5
e5417e0e-11d8-4b0b-bddb-a72ed60082d8,us_boston_streets_5144,match,Brad,2026-01-12 03:08:03.678563+00:00,6caa76cb,review,0.7462501025,1.0,1.0,1.0,0.6,0.0,0.9825853475,0.0,0.994926513,True,0.9825853475,0.994926513,0.9825853475,0.9875959025,2.488735388,2.047730941,2.488675427,0.6604783091,0.8657180877,0.8877039729,1.0,1.967469354,1.0,6,3,3,6,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,9,1.976119574,0.3708871265,2.419276622,0.9711111111,1.0,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.000021722,1.0,2.172169595e-05,0.9970455681,1.0,0.002954431857,0.05355424375,0.03570282917,0.6666666667,56.01796963,0,0,0,0.5
ca954cc7-5125-4e5d-9dda-73f47b470c7d,us_boston_streets_9205,match,Brad,2026-01-12 03:08:05.402999+00:00,6caa76cb,review,0.7457455155,1.0,1.0,1.0,0.8,0.1250856228,0.9721335373,0.0,1.0,True,0.8470479145,1.0,0.8470479145,0.8470479145,3.488017207,1.912490617,3.470154412,0.7803623657,0.9097507692,2.345965157,1.0,1.124004592,1.0,3,4,2,4,0.9230769231,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,5,1.180306364,0.6951143218,3.383824697,0.98,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.001125215,1.002610897,0.001485682528,0.9902401434,0.9764806739,0.01375946943,0.07680039284,0.06400032737,0.8333333333,78.12460039,1,0,1,0.5
e30326a3-1ae9-45a4-98cb-6a01367a9b0b,us_boston_streets_7401,match,Brad,2026-01-12 03:08:07.635544+00:00,6caa76cb,review,0.7455379996,1.0,1.0,1.0,0.6,0.009792738292,1.0,0.03891527639,1.0,True,0.9902072617,0.9610847236,0.9610847236,0.9705894521,1.575000126,1.247227213,1.563450522,0.7863226728,0.9225691345,0.6346209403,1.0,1.188747501,1.0,3,3,2,3,0.9090909091,0.3333333333,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,4,1.172545818,0.5101791604,1.556987732,0.98,0.95,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.000097031,1.0,9.703092791e-05,0.9950899341,0.999995627,0.004905692838,0.0860523445,0.04302617225,0.5,69.72500325,0,0,0,0.5
8fc70c28-6806-4e82-92fb-d4f8e3d7eb2b,us_boston_streets_3057,match,Brad,2026-01-12 03:08:09.620467+00:00,6caa76cb,review,0.7455102482,1.0,1.0,1.0,0.6,0.0,0.9415742816,0.02677351235,1.0,True,0.9415742816,0.9732264876,0.9415742816,0.96747704,1.146452358,0.7091609745,1.146451649,0.8651593605,0.9511835606,0.7049011538,1.0,0.7049031957,1.0,4,3,4,3,1.0,1.0,0,0,1,1,1,1,1.0,1.0,1,1,0,0.0,0.0,6,0.7044895781,0.4526830716,1.105417605,0.9883333333,1.0,1769233435934733245_35513514,1769233627358710641_2326383,2026-01-25,1.000000083,1.0,8.311054644e-08,0.9998734512,0.9999990047,0.0001255535843,0.04131090141,0.06885150235,0.6,72.62005664,0,0,0,0.5
