gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_data_version,target_data_version,feature_version
3b340402-dbf8-4af2-901e-e5263a829830,hk_hongkong_31947_88411cb8a1,match,brad,2026-02-05T03:44:01.635310+00:00,e4c9485c,review,0.749986887,0.01179613764,1,0,0.9932447184,True,,,
a7e56ef6-3eba-4280-9c66-bd39c4d660d9,hk_hongkong_29973_88411c86a9,no_match,brad,2026-02-05T03:45:16.053491+00:00,e4c9485c,review,0.7499653697,0,1,0.01982639548,0.8890520586,True,,,
767a0649-bf27-4d1d-91e9-196b25e1302e,hk_hongkong_1289_88410349d3,no_match,brad,2026-02-05T03:46:27.778066+00:00,e4c9485c,review,0.7499565482,0.424605697,0.7615151268,0.03225806452,1,True,,,
e221ebbd-e31e-423d-a773-8e0362ac2a5e,hk_hongkong_20544_88411cb8d3,match,brad,2026-02-05T03:46:49.527280+00:00,e4c9485c,review,0.7499547005,0,0.5352289711,0.01888255067,1,True,,,
3a562bf8-db2b-4a2f-8680-8c4091903ef5,hk_hongkong_30418_88411c8593,no_match,brad,2026-02-05T03:47:07.898119+00:00,e4c9485c,review,0.7499423623,0.8504230574,0.9270226078,0,1,True,,,
a25f3dbc-4e98-457a-8a6a-175a9519d5bd,hk_hongkong_20983_88411c8553,no_match,brad,2026-02-05T03:47:19.535377+00:00,e4c9485c,review,0.7499352694,0,0.917731363,0,0.7195239545,True,,,
eb9c137a-22d9-4de0-bd59-f64055a5131c,hk_hongkong_260069_88411ca219,no_match,brad,2026-02-09T04:23:41.111117+00:00,a9f165d6,review,0.6258948445,0.7261063838,1,0,0.02134151457,True,,,
7cd5ae48-eaf3-4b67-90b4-5c8be112f14b,hk_hongkong_95317_88411ca23b,no_match,brad,2026-02-09T04:23:53.552194+00:00,edf7db61,review,0.6224036217,0,0.03628937771,0.7831463445,1,True,,,
e90ff213-c005-4245-9b3d-4e08d7e5c74f,hk_hongkong_4220_88410349ab,match,brad,2026-02-09T04:24:27.649649+00:00,b1ab56b5,review,0.6305488944,0,0.1492067345,0.9604344232,1,True,,,
72ed5c5c-78e1-48c0-8196-ba077915b7ae,hk_hongkong_112069_88411cb323,no_match,brad,2026-02-09T04:24:37.129013+00:00,f50e62df,review,0.6318044662,0,1,0.8287550147,0.9021266562,True,,,
7a98c705-9dee-49a2-a053-dcfc3defcebc,hk_hongkong_9272_88411cb441,match,brad,2026-02-09T04:24:55.777046+00:00,bbc67a54,review,0.6320771575,0,1,0.1343978084,0.9088997967,True,,,
53ba86a1-d9dc-4a5d-9bc8-152feadd9bea,hk_hongkong_269612_88411ca307,match,brad,2026-02-09T04:25:05.819841+00:00,85e4d007,review,0.6154514551,0,1,0.7506877486,0.813843153,True,,,
8c9e97ea-a9d9-43c2-91f7-ba87f4f5474d,hk_hongkong_58537_88411cb10b,match,brad,2026-02-09T04:25:33.029988+00:00,cfb39dbf,review,0.6132988334,0.4648829997,0.4995803276,0,1,True,,,
d0e4a923-7838-4662-b06a-14931e71ab46,hk_hongkong_62831_88411c85dd,match,brad,2026-02-09T04:25:38.415221+00:00,5108cf07,review,0.6368941665,0.2780344522,1,0,0.09799758001,True,,,
ea658f70-9946-4bab-967a-383b9fc3c5c9,hk_hongkong_100338_88411c86e1,no_match,brad,2026-02-09T04:26:01.763829+00:00,7e3079c7,review,0.6401197314,0.713362922,1,0.8498245225,1,True,,,
a2e9f82d-800a-4d79-8f91-d160424e16b2,hk_hongkong_260145_88411c8605,no_match,brad,2026-02-09T04:26:07.025750+00:00,a6230b64,review,0.6092250347,0.5483870968,1,0.5286449278,0.8683960587,True,,,
ee9fc4e5-7ad8-4177-a59b-8cd8c5b6ffd1,hk_hongkong_103897_88411c86ab,no_match,brad,2026-02-09T04:26:16.197609+00:00,b30844b5,review,0.6076834202,0.9253103241,1,0,0.1229375493,True,,,
2a2816fa-6f84-4b12-b2f4-b289bbcf435a,hk_hongkong_4804_8841034827,match,brad,2026-02-09T04:26:26.393918+00:00,576b5e64,review,0.6445982456,0.9596378447,1,0,0.05937599426,True,,,
9db4de83-8a91-412a-a26d-d2b061414041,hk_hongkong_2069_88410349b7,no_match,brad,2026-02-09T04:29:34.607607+00:00,e72e7ae7,review,0.6045558453,0.6558450855,0.713100585,0,1,True,,,
4dc73811-8fc9-4275-acde-cb9ea26d9915,hk_hongkong_272895_88410349bd,no_match,brad,2026-02-09T04:31:42.808416+00:00,7f85fec4,review,0.6508140564,0.5632685777,1,0.1048014375,1,True,,,
c18c514f-e630-4158-a3f8-2beac34eeb06,hk_hongkong_105617_88411cb345,no_match,brad,2026-02-09T04:31:52.139758+00:00,bd11708a,review,0.5981457829,0,0.3225806452,0.0580985154,0.2552596056,True,,,
fb2056d4-b218-4193-bbeb-8faa799e609f,hk_hongkong_203_88410349d7,no_match,brad,2026-02-09T04:31:54.750807+00:00,40340fe8,review,0.594771862,0.2529758438,0.2991857862,0,1,True,,,
27966d26-62f6-42c4-8158-55f59cc22730,hk_hongkong_94862_88411ca211,match,brad,2026-02-09T04:32:14.557729+00:00,d917762e,review,0.594425559,0,0.5032126271,0,0.0465617409,True,,,
