ref_id,target_id,label,confidence,reasoning
0277e6ae-7ddc-4500-98ec-fbdb18657c21,fc_street_5893,no_match,0.95,Segments are perpendicular (87° heading difference) with no meaningful overlap
02cc6f96-02e3-4d43-a269-f4e33e5c7943,fc_street_6430,no_match,0.95,Perpendicular segments representing different intersecting roads
04a7a38a-b1ad-4d75-bb63-7f8189ed2b91,fc_street_914,match,0.95,Blue segment is subsegment of red on same curved road
04d2c9b1-ba7b-44df-9c44-711d696ecd3c,fc_street_1181,no_match,0.95,Spatially separated segments with different orientations and street names
05e95073-9bad-4b0d-ae99-d41104c0ea0f,fc_street_10465,no_match,0.95,Different roads - no spatial overlap and perpendicular orientation
08193f55-e315-494c-b1e6-f6094d0cacc2,fc_street_9686,match,0.75,Blue segment is subsegment of red curved road
091a76e3-ee8e-41e3-a9b9-80e82e02016d,fc_street_1783,match,1.0,Blue and red segments overlap perfectly on same road with matching names
09793488-9b24-4a82-b9e1-f79d2c221c3d,fc_street_2867,no_match,0.7,Two distinct curved segments side-by-side not overlapping same road
0b734360-9567-434b-8ebe-a48ff309702a,fc_street_7384,no_match,0.85,Segments are on different parallel alignments with minimal overlap despite same street name
0bba69cf-82be-46e7-b2f2-fe1e744fff6c,fc_street_9256,no_match,0.95,Segments are spatially separated with no overlap; different road types
126e5b03-039d-4a79-96b2-981003d43312,fc_street_10036,match,0.85,Segments are consecutive portions of same diagonal road with matching name and alignment
18480585-b459-4a50-a7a5-702adee68389,fc_street_3510,no_match,0.9,Parallel segments spatially separated by ~22m with no overlap
18ce3ae2-fd1d-4579-acbb-7ffcbd53603e,fc_street_4872,no_match,0.85,Short path segment separate from residential street Cherokee Dr
1a802bb9-be4d-4c05-a713-f01308119c4c,fc_street_1192,no_match,0.95,Segments are on parallel but spatially separated roads despite matching names
1ce9bafc-4a79-492e-8ec7-5af173290bc1,fc_street_8711,no_match,0.95,Perpendicular crossing roads - short horizontal footway intersects vertical residential street
1d584221-0b4f-4b49-b1d9-2bd2ee4fb281,fc_street_7275,no_match,0.9,Perpendicular segments - footway crosses street
1ed3439f-ec06-4dc3-93b1-3c46fb367dda,fc_street_8353,no_match,0.95,Different roads with perpendicular orientations and no geometric overlap
206d0385-996b-4895-96b2-1a64e19f6e0b,fc_street_4912,no_match,0.95,Segments are clearly separated parallel roads at different locations with no overlap
28b54680-fa1f-403a-b5af-2c5c0ae8ac9a,fc_street_5246,no_match,0.95,Segments are spatially separated on different roads with distinct orientations
2a41e06b-167f-44dd-ad86-dfb08d44e272,fc_street_5159,no_match,0.95,Segments are perpendicular and cross at intersection - different roads
2bff29bb-4a67-43f5-a4fd-e263294ee158,fc_street_7720,match,0.98,Nearly perfect geometric overlap with identical names and road class
2f07b52b-3806-4ee0-be3d-e9dce72c04b7,fc_street_3284,match,0.98,Blue and red segments overlay same horizontal road path with excellent alignment
2f277c1a-7383-4a47-82a8-e439751ceb8d,fc_street_8166,match,0.95,Nearly perfect geometric alignment with identical names and high overlap
2f7b56df-b93a-4554-8e8b-735943496880,fc_street_7582,no_match,0.95,Segments are spatially separated and oriented nearly perpendicular with no overlap
30ad5873-adb5-4fd3-bab7-d6672d0e91d0,fc_street_1424,match,0.85,Red segment is subsegment of blue on same road alignment
30ad5873-adb5-4fd3-bab7-d6672d0e91d0,fc_street_1645,no_match,0.95,Completely separate non-overlapping segments approximately 100m apart with perpendicular orientations
3707f97a-511f-4c77-b880-961519a40b5a,fc_street_3968,match,0.95,Near-perfect geometric alignment with identical curve path and length
3b449842-6279-496c-bc0a-d4f41e5bf434,fc_street_1233,match,0.95,Nearly perfect geometric overlap with identical names and road class
3dd65582-1764-4294-b7be-405c22dd64d6,fc_street_2304,no_match,1.0,Perpendicular intersecting roads at ~85 degree angle with different names
454251c1-0ee2-4bec-a81e-6f6ceacf76bb,fc_street_5189,no_match,1.0,Perpendicular segments with no overlap - different roads
456b8893-e519-41d5-941f-4c551bf21750,fc_street_3680,no_match,0.85,Parallel but separate features - footway offset from primary road
478052c8-1a53-4224-83fd-f73d7249703a,fc_street_4103,match,0.85,Blue segment is subsegment at end of longer red segment on same road
