ref_id,target_id,label,confidence,reasoning,labeler,dataset
10297911-dcd0-4af2-9887-14cf1949d60c,boston_sidewalk_74135,no_match,0.95,Red segment is sidewalk offset from blue street; parallel but different features,claude_sonnet,boston_sidewalks
16c27c80-7650-4534-b22b-c924be7b420e,boston_sidewalk_1672,no_match,0.9,Red segment (sidewalk) parallel to but offset from blue road segment with significant spatial separation,claude_sonnet,boston_sidewalks
23748250-8f17-4083-bcee-5723cf3904f5,boston_sidewalk_87525,no_match,0.9,Segments are parallel but spatially separated (~10m apart) representing different physical sidewalks,claude_sonnet,boston_sidewalks
29dced94-0730-40b9-884d-498a77d70c02,boston_sidewalk_102743,no_match,0.85,Segments are parallel but offset ~18m with different classes (primary road vs sidewalk),claude_sonnet,boston_sidewalks
2ab59c60-b870-47cc-ba59-2feedad33fd6,boston_sidewalk_75585,no_match,0.85,Segments are parallel but spatially separated with significant offset,claude_sonnet,boston_sidewalks
2b708efa-c340-4546-868f-9bf2fcd1d8ea,boston_sidewalk_103393,no_match,0.85,Blue segment shows Y-junction while red segment only covers one arm,claude_sonnet,boston_sidewalks
3c147e0f-5247-4d93-848c-46e110d5401f,boston_sidewalk_13177,no_match,0.85,Blue segment is 4x longer than red; red covers only small portion near middle,claude_sonnet,boston_sidewalks
3f4afbac-5224-42be-a24f-514a91d6c0d4,boston_sidewalk_22809,no_match,0.85,Different parallel segments with significant spatial offset and length mismatch,claude_sonnet,boston_sidewalks
44460971-d2b2-474d-b5a3-8b2d821a7f48,boston_sidewalk_2126,no_match,0.85,Different geometries - blue L-shaped segment vs red diagonal segment with minimal overlap,claude_sonnet,boston_sidewalks
4c0e948d-3fd1-4dea-b295-a5ca6fe4bef9,boston_sidewalk_105974,no_match,0.95,Different segments with different orientations and positions; red segment is curved and much longer than blue straight segment,claude_sonnet,boston_sidewalks
10297911-dcd0-4af2-9887-14cf1949d60c,boston_sidewalk_74135,no_match,0.95,Parallel segments with significant offset and different functional classes,gemini,boston_sidewalks
16c27c80-7650-4534-b22b-c924be7b420e,boston_sidewalk_1672,no_match,0.95,Segments have significant spatial offset and different orientations representing different feature classes.,gemini,boston_sidewalks
23748250-8f17-4083-bcee-5723cf3904f5,boston_sidewalk_87525,no_match,0.95,Parallel segments with significant lateral separation of over 10 meters indicating distinct physical paths.,gemini,boston_sidewalks
29dced94-0730-40b9-884d-498a77d70c02,boston_sidewalk_102743,no_match,0.95,Parallel segments with 18m offset representing distinct road and sidewalk features,gemini,boston_sidewalks
2ab59c60-b870-47cc-ba59-2feedad33fd6,boston_sidewalk_75585,no_match,0.95,Segments are parallel with a large spatial offset indicating separate physical footways.,gemini,boston_sidewalks
2b708efa-c340-4546-868f-9bf2fcd1d8ea,boston_sidewalk_103393,no_match,0.9,Target segment only covers one branch of the L-shaped reference segment geometry,gemini,boston_sidewalks
3c147e0f-5247-4d93-848c-46e110d5401f,boston_sidewalk_13177,match,0.95,Target segment is a subset perfectly aligned with the reference segment.,gemini,boston_sidewalks
3f4afbac-5224-42be-a24f-514a91d6c0d4,boston_sidewalk_22809,no_match,0.9,Segments are spatially disjoint with significant offset and no overlap.,gemini,boston_sidewalks
44460971-d2b2-474d-b5a3-8b2d821a7f48,boston_sidewalk_2126,no_match,0.95,Segments intersect at a high angle and have completely different geometric shapes.,gemini,boston_sidewalks
4c0e948d-3fd1-4dea-b295-a5ca6fe4bef9,boston_sidewalk_105974,no_match,0.95,Segments are spatially disjoint with significant geometric separation and different lengths.,gemini,boston_sidewalks
10297911-dcd0-4af2-9887-14cf1949d60c,boston_sidewalk_74135,no_match,0.92,Road and sidewalk are separate physical features with different grades and surfaces,claude_haiku,boston_sidewalks
16c27c80-7650-4534-b22b-c924be7b420e,boston_sidewalk_1672,no_match,0.92,Road and sidewalk are different feature types with parallel but offset geometries,claude_haiku,boston_sidewalks
23748250-8f17-4083-bcee-5723cf3904f5,boston_sidewalk_87525,no_match,0.92,Parallel sidewalk segments offset by 10m; minimal geometric overlap,claude_haiku,boston_sidewalks
29dced94-0730-40b9-884d-498a77d70c02,boston_sidewalk_102743,no_match,0.95,Road and adjacent sidewalk are physically separate features with 15-20m parallel offset,claude_haiku,boston_sidewalks
2ab59c60-b870-47cc-ba59-2feedad33fd6,boston_sidewalk_75585,no_match,0.88,Parallel footways with 15-20m offset and poor geometric overlap (buffer_iou=0.22),claude_haiku,boston_sidewalks
2b708efa-c340-4546-868f-9bf2fcd1d8ea,boston_sidewalk_103393,no_match,0.92,Significant angular offset and 45m separation between segments despite same feature type,claude_haiku,boston_sidewalks
4c0e948d-3fd1-4dea-b295-a5ca6fe4bef9,boston_sidewalk_105974,no_match,0.92,Reference and target are offset and misaligned; reference is 8.7m while target is 39.1m with poor spatial overlap,claude_haiku,boston_sidewalks
51011124-ccb6-43f5-9589-52421c14c7af,boston_sidewalk_22963,no_match,0.92,Target is partial subset with poor overlap and 26m centroid offset despite same feature type,claude_haiku,boston_sidewalks
6723ebf7-f30a-45f9-8aac-9dc6ec013f52,boston_sidewalk_22328,no_match,0.92,Reference is road centerline; target is adjacent sidewalk/footway - different feature type and separate physical surfaces,claude_haiku,boston_sidewalks
68eca339-2396-4352-bdd2-59baccd51e8c,boston_sidewalk_103845,match,0.92,Footways align with same direction; high overlap and endpoint connectivity,claude_haiku,boston_sidewalks
6a435460-f827-47eb-bdc2-85f71b2540e9,boston_sidewalk_41015,no_match,0.85,Different heading (28.7°) indicates separate footway segments not same feature,claude_haiku,boston_sidewalks
716892e5-bd7b-4fd9-9007-81df587bd4b9,boston_sidewalk_861,no_match,0.95,Motorway centerline vs adjacent footway are different features,claude_haiku,boston_sidewalks
74b7fb7e-31b9-4163-8fbb-114b300fbfe9,boston_sidewalk_12671,no_match,0.92,Different footway sections with minimal overlap and diverging paths,claude_haiku,boston_sidewalks
7c3f02f6-f96c-44b5-bf71-926ed10eedc4,boston_sidewalk_103996,match,0.92,Same footway with strong geometric alignment; target is segmented subset,claude_haiku,boston_sidewalks
