gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,graphlet_similarity,endpoint_degree_similarity,ref_data_version,target_data_version,feature_version,sinuosity_ref,sinuosity_target,sinuosity_delta,heading_consistency_ref,heading_consistency_target,heading_consistency_delta,vertex_density_ref,vertex_density_target,vertex_density_ratio,min_length_m,shape_complexity_ref,shape_complexity_target,shape_complexity_delta,name_numeric_match
1268f3ee-d67e-41fa-97a4-727fc65f8d41,boston_bike_3168,match,brad,2026-01-14 03:47:00.284799+00:00,d7840237,review,0.749076989,0.01397033115,0.9446053218,0,1,True,0.5,0.5,0.5,1,0.9306349907,1,0.9306349907,0.9306349907,2.175413333,1.721868789,2.159885142,0.6774371036,0.8775355294,2.300465562,1,1.895959642,1,3,2,2,1,0.75,0.3333333333,0,1,0,1,0,0,0.5,0.5,0,0,0,0,0,2,1.78735151,0.3955798528,2.131354337,0.8866666667,0.9,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.001507099,1,0.001507099067,0.9311534221,1,0.06884657785,0.227017413,0.09080696519,0.4,22.02474222,0,0,0,0.5
beb5eca9-7fa3-4af2-80e4-4679ebf67647,boston_bike_1803,match,brad,2026-01-14 03:47:20.412249+00:00,d7840237,review,0.7488931404,0.1664787902,0.9705484238,0,1,True,1,1,1,0.7,0.8040696336,1,0.8040696336,0.8040696336,2.073836338,1.331488083,2.065431753,0.736262972,0.9046766706,0.09424391973,1,1.528678843,1,3,3,2,2,0.8,0,0,0,1,1,0,0,1,1,1,1,0,0,0,2,1.517700253,0.5126621289,2.008685383,0.9322222222,0.9,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.000003772,1.000048739,4.496676318e-05,0.9994650665,0.9991367315,0.0003283349649,0.02965063448,0.01853164655,0.625,269.8087289,0,0,0,0.5
e40713a4-fcd2-41cc-9bd3-50f34a0f2f30,boston_bike_2846,no_match,brad,2026-01-14 03:47:43.340542+00:00,d7840237,review,0.7481773923,0,1,0.1622997006,0.8293725577,True,0.5,0.5,0.5,0.5,1,0.6670728571,0.6670728571,0.6670728571,1.70183845,1.489284499,1.701780001,0.722695412,0.8916225082,1.33338122,1,1.489381681,1,3,3,2,2,0.8,0,0,0,1,1,0,0,0.5,0.5,0,1,0,0,0,2,1.489122257,0.2122613564,1.6802031,0.7966666667,0.9,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1,1,0,1,1,0,0.1095271263,0.1095271263,1,18.26031658,0,0,0,0.5
e40afa3b-627e-456e-b098-9c5e794339f2,boston_bike_1049,no_match,brad,2026-01-14 03:47:46.889572+00:00,d7840237,review,0.7472677637,0,1,0.04597134696,0.9521873721,True,0.5,0.5,0.5,0.5,1,0.9062160252,0.9062160252,0.9062160252,5.136658372,4.393748261,5.135817449,0.4098832765,0.7441640297,0.6403279269,1,4.076674455,1,4,3,4,4,0.9333333333,0.3333333333,0,0,1,1,1,1,0.5,0.5,0,1,0,0,0,6,4.10354131,0.7475294379,4.991651544,0.985,0.95,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.000308224,1,0.0003082238974,0.9956355387,1,0.004364461315,0.04930180543,0.01972072217,0.4,101.4161643,0,0,0,0.5
688d3808-cb07-4252-bfb3-71735638b007,boston_bike_2933,match,brad,2026-01-14 03:58:34.941470+00:00,d7840237,review,0.7472601422,0.1073995476,1,0,0.495131972,True,1,1,1,0.7,0.8926004524,0.495131972,0.495131972,0.5547072833,2.319009446,2.131887147,2.279709792,0.6275143011,0.851809317,0.1986364323,1,2.198857116,1,4,3,2,2,0.7272727273,0,0,0,1,1,0,0,1,1,1,1,0,0,0,3,2.179798545,0.1154849056,2.281366577,0.9122222222,0.85,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.000085629,1.000001155,8.447407622e-05,0.9903475414,0.9999206226,0.009573081178,0.0919883286,0.0919883286,1,32.61283302,0,0,0,0.5
10aa70d9-1fb7-4fc7-aaa0-57d4356db9d6,boston_bike_1719,match,brad,2026-01-14 03:58:50.359647+00:00,d7840237,review,0.7468827367,0,0.7581866657,0.01400680512,1,True,1,1,1,0.5,0.7581866657,0.9859931949,0.7581866657,0.7689573007,2.304407303,2.170258615,2.304405588,0.6423811698,0.8612863661,0.06701913426,1,2.14535318,1,4,4,4,2,0.8571428571,0.3333333333,0,0,1,1,1,1,1,1,1,1,0,0,0,4,2.147732978,0.1493233558,2.287490294,0.965,0.9,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.000006517,1,6.516593751e-06,0.9993003909,1,0.0006996090661,0.04604418669,0.01315548191,0.2857142857,152.0278781,0,0,0,0.5
bf32b561-4bd6-4fac-bed2-def83f5f5bd5,boston_bike_3308,match,brad,2026-01-14 03:58:58.174547+00:00,d7840237,review,0.7463934569,0.05984254298,0.9967160224,0,1,True,0.5,0.5,0.5,0.5,0.9368734795,1,0.9368734795,0.9368734795,1.040567112,0.3235898949,0.8641605565,0.9439128339,0.9770431927,0.5197465979,1,0.001312270012,1,3,4,3,4,1,1,0,0,1,1,1,1,0.5,0.5,0,1,0,0,0,6,0.272888038,0.2229476525,0.5580278496,0.7761111111,1,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.007188815,1.006517622,0.0006711926957,0.9607263821,0.9613231835,0.0005968013786,0.1027543678,0.1387183966,0.7407407407,194.638928,1,0,1,0.5
4bfc5340-0a37-4c28-beaa-c43876943c27,boston_bike_2812,no_match,brad,2026-01-14 03:59:20.351480+00:00,d7840237,review,0.7462318676,0,1,0.1142272217,0.9887221481,True,0.5,0.5,0.5,1,1,0.8744949264,0.8744949264,0.8744949264,3.888076256,3.28872236,3.877959072,0.4750935388,0.7799286626,0.6036315969,1,3.473301938,1,3,3,3,2,0.9090909091,0.3333333333,0,0,1,1,1,1,0.5,0.5,0,1,0,0,0,3,3.479961718,0.762876126,3.87999761,0.9833333333,0.95,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.001361797,1,0.00136179694,0.9870829842,1,0.01291701581,0.07074259,0.028297036,0.4,70.67878063,1,0,1,0.5
d7690b28-4210-4b20-8de6-287d7c7bfed9,boston_bike_2428,no_match,brad,2026-01-14 03:59:31.927547+00:00,d7840237,review,0.7442229827,0,1,0.05488389815,0.9054105853,True,0.5,0.5,0.5,0.5,1,0.8505266871,0.8505266871,0.8505266871,6.643191046,2.696599631,6.061502593,0.6295195055,0.8201078092,5.93064126,1,1.894621902,1,3,3,2,4,0.8333333333,0,0,0,1,1,1,1,0.5,0.5,0,1,0,0,8.381903172e-09,4,2.037072239,0.09190729782,4.169767817,0.8866666667,0.9,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.03706814,1,0.03706814022,0.9005884322,1,0.09941156779,0.1984114483,0.03968228966,0.2,50.40031755,4,0,4,0.5
71737d4e-5630-45ca-98d9-58f0b4e8d096,boston_bike_1053,no_match,brad,2026-01-14 03:59:43.754468+00:00,d7840237,review,0.7421916601,0.3604713708,1,0.5664270647,1,True,0.5,0.5,0.5,0.5,0.6395286292,0.4335729353,0.4335729353,0.6779570383,1.457530892,1.272327779,1.445112454,0.7466496066,0.9038906576,3.980573746,1,1.278058642,1,4,4,2,2,0.6666666667,0,0,0,1,1,0,0,0.5,0.5,0,1,0,0,0,1,1.244888206,0.1692345574,1.384120463,0.775,0.8,1769266721686191537_35513514,1769233459009851049_592744,2026-01-25,1.002129807,1,0.00212980701,1,1,0,0.6148345556,0.4098897037,0.6666666667,4.879361403,1,0,1,0.5
