ref_id,target_id,label,confidence,reasoning,labeler,dataset
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,no_match,0.8,Parallel segments with ~6m offset - likely different roads or bike path vs footway,claude_sonnet,boston_bikes
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,no_match,0.85,Red segment extends far beyond blue and follows different trajectory,claude_sonnet,boston_bikes
3f4d080b-0c5c-4f25-8f67-5004ab9fa2b5,boston_bike_3179,match,0.95,Blue and red segments follow nearly identical curved path representing North Bank Bridge,claude_sonnet,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,no_match,0.85,Red segment is parallel but offset from blue segment - likely separate bike path adjacent to road,claude_sonnet,boston_bikes
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,no_match,0.85,Significant lateral offset of ~6m and different classes suggest the footway is a parallel sidewalk distinct from the street centerline.,gemini,boston_bikes
351f73aa-db85-4c3e-a050-e056a650da4c,boston_bike_2934,match,0.9,Parallel segments with identical names and matching geometric curvature despite lateral offset,gemini,boston_bikes
3f4d080b-0c5c-4f25-8f67-5004ab9fa2b5,boston_bike_3179,match,0.95,High geometric overlap and nearly identical names for the North Bank Bridge,gemini,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,match,0.9,Parallel segments with identical names representing the same street corridor with a bike lane offset.,gemini,boston_bikes
02d2b67a-3d89-4b6d-ab56-8bec360f6edd,boston_bike_1082,no_match,0.85,Footway and bike network are parallel but distinct feature types with poor geometric overlap,claude_haiku,boston_bikes
44538cf4-9d1b-41ec-ad2e-0603d359bbfb,boston_bike_272,no_match,0.92,Cycleway is physically separate from road centerline; distinct features warrant separate IDs,claude_haiku,boston_bikes
640e0b5a-ffba-4404-a006-43659dd43466,boston_bike_325,no_match,0.9,Footway and bike facility are different feature types despite proximity,claude_haiku,boston_bikes
87d5fc65-7a29-422a-9473-93dd243f5acf,boston_bike_685,match,0.98,Perfect geometric alignment and name match on Post Office Square bike facility,claude_haiku,boston_bikes
8ea0fd06-5e32-45d4-bfd6-1ca46a01ae9c,boston_bike_2169,no_match,0.88,Parallel offset geometry; different feature types (footway vs bike facility),claude_haiku,boston_bikes
