gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance,mean_hausdorff_distance,buffer_iou,overlap_ratio,heading_delta,length_ratio,projection_distance,centroid_distance,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match
e222433e-4704-4b2f-9e31-889c1eca860b,fc_street_10440,no_match,brad,2026-01-19T00:50:36.039210+00:00,37689aec,no_match,0.4999965334,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,1.0000000000,1.0000000000,1.0000000000,0.8000000000,0.0487877369,0.0333209722,0.0333209722,0.6829784354,0.0000163085,0.0000128284,0.9992638002,1.0000000000,1.0582243700,0.9997980688,0.0000128284,0.0000162026,1.0000000000,3,4,3,3,0.9230769231,0.3333333333,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
ea255b03-02c3-479d-9727-edf70078b391,fc_street_6088,no_match,brad,2026-01-19T00:50:42.231979+00:00,37689aec,no_match,0.4999849136,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.5000000000,0.5000000000,0.5000000000,0.2000000000,0.4517679599,0.1366209686,0.1366209686,0.3024140282,0.0000765535,0.0000753680,0.9993042675,1.0000000000,1.0035841815,0.9750705823,0.0000753680,0.0000754928,1.0000000000,1,3,3,3,0.8000000000,0.3333333333,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
089e8cf6-0d34-412e-9803-133f383344d3,fc_street_441,no_match,brad,2026-01-19T00:50:46.256438+00:00,37689aec,no_match,0.4999626214,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0372409963,0.0422726537,0.0372409963,0.8809713391,0.0000223048,0.0000158895,0.9989417174,1.0000000000,3.7929845344,0.9993542419,0.0000158895,0.0000219088,1.0000000000,4,4,4,3,0.9333333333,0.3333333333,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
ea59f1b4-60ab-44cd-a247-d0475fb5fa6f,fc_street_8240,no_match,brad,2026-01-19T00:50:49.969809+00:00,37689aec,no_match,0.4999211965,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,1.0000000000,1.0000000000,1.0000000000,0.8000000000,0.0394632732,0.0397328893,0.0394632732,0.9932142843,0.0000479688,0.0000326404,0.9996612370,1.0000000000,0.4276829789,0.9999312269,0.0000326404,0.0000479604,0.0000000000,4,4,4,4,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
107de1f6-fd8b-4896-9986-b6200d937c13,fc_street_6533,no_match,brad,2026-01-19T00:50:55.897869+00:00,37689aec,no_match,0.4998801653,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.5000000000,0.5000000000,0.5000000000,0.2000000000,0.8239563569,0.9130429543,0.8239563569,0.9024289087,0.0002839297,0.0001701316,0.9990956426,1.0000000000,3.8977745965,0.9268400256,0.0001701316,0.0001824131,1.0000000000,3,2,2,4,0.9090909091,0.3333333333,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
5c58600c-f943-474b-b392-450ab5bd99c6,fc_street_6975,match,brad,2026-01-19T00:52:07.072093+00:00,37689aec,no_match,0.4998787847,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.9655172414,0.9580952381,0.9655172414,1.0000000000,0.9176375754,0.2099161993,0.2099161993,0.2287571967,0.0000182346,0.0000159586,0.9995776887,1.0000000000,0.9329781617,0.9924680545,0.0000159586,0.0000161822,1.0000000000,3,3,3,3,1.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
f47a3edf-61ee-4784-9cc8-fe603356e662,fc_street_8294,no_match,brad,2026-01-19T00:52:21.393270+00:00,37689aec,no_match,0.4998428688,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.1582803921,1.0000000000,0.1582803921,0.1582803921,0.0000989638,0.0000849703,0.9991356944,1.0000000000,1.4360905582,0.9975034289,0.0000849703,0.0000961915,1.0000000000,2,2,3,3,0.8000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000,1.0000000000,0.0000000000
5ba5db64-6ca5-4f8a-af5a-c7467bc10a2e,fc_street_10259,no_match,brad,2026-01-19T00:52:29.008920+00:00,37689aec,no_match,0.4997690348,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.5000000000,0.5000000000,0.5000000000,0.0000000000,1.0000000000,0.7732765797,0.7732765797,0.7732765797,0.0001100111,0.0001012015,0.9995740774,1.0000000000,1.4530891061,0.9969984858,0.0001012015,0.0001076151,1.0000000000,4,2,3,3,0.8333333333,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
a41d0cec-398b-47ca-accd-f864862007f4,fc_street_4606,no_match,brad,2026-01-19T00:52:32.644134+00:00,37689aec,no_match,0.4997514335,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,1.0000000000,1.0000000000,1.0000000000,1.0000000000,0.0476676244,0.0338644594,0.0338644594,0.7104289291,0.0000257627,0.0000147469,0.9991904382,1.0000000000,1.2014140935,0.9861320662,0.0000147469,0.0000255462,0.0230428591,3,3,3,4,0.9230769231,0.3333333333,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000
59bd07c2-ca3f-4ba1-959a-f7224790f4c7,fc_street_5828,no_match,brad,2026-01-19T00:52:38.461481+00:00,37689aec,no_match,0.4997148413,0.0000000000,1.0000000000,0.0000000000,1.0000000000,False,0.5000000000,0.5000000000,0.5000000000,0.2000000000,0.5428370661,0.1549073428,0.1549073428,0.2853661854,0.0000847602,0.0000819386,0.9988342849,1.0000000000,3.3178928424,0.9991850468,0.0000819386,0.0000819603,1.0000000000,1,4,3,3,0.7272727273,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000
