gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,frechet_distance,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,buffer_iou,overlap_ratio,heading_delta,length_ratio,projection_distance_m,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,name_soundex,name_metaphone,start_endpoint_proximity_m,end_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_consistency,graphlet_similarity,endpoint_degree_similarity
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,boston_streets_10067,match,Brad,2026-01-12 03:00:54.867714+00:00,5172f404,review,0.749867413,30.11070144,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.9422624222,0.977817553,0.9422624222,0.9636382772,1.784793566,1.190895225,0.9988011712,1,1.009796364,0.9974212506,1.190895225,0.7489270403,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,6,1.413542685,5.582452032e-06,0.9805555556,1.0
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,boston_streets_10067,match,Brad,2026-01-12 03:04:04.020630+00:00,e6517946,review,0.749867413,30.11070144,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.9422624222,0.977817553,0.9422624222,0.9636382772,1.784793566,1.190895225,0.9988011712,1,1.009796364,0.9974212506,1.190895225,0.7489270403,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,6,1.413542685,5.582452032e-06,0.9805555556,1.0
a37b491e-cb37-4a26-9c8b-b9bca9293c2f,boston_streets_10067,match,Brad,2026-01-12 03:07:07.535396+00:00,6caa76cb,review,0.749867413,30.11070144,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.9422624222,0.977817553,0.9422624222,0.9636382772,1.784793566,1.190895225,0.9988011712,1,1.009796364,0.9974212506,1.190895225,0.7489270403,1.0,3,6,3,5,0.9411764706,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,6,1.413542685,5.582452032e-06,0.9805555556,1.0
fa0505a8-2b9e-4114-a050-932048fb8efd,boston_streets_69,match,Brad,2026-01-12 03:07:10.816326+00:00,6caa76cb,review,0.7487277183,61.49596412,1.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,False,1.0,0.8614381093,0.8614381093,0.8614381093,2.622492997,1.812229282,0.9989826158,1,1.946540116,0.987071759,1.812229282,1.689770383,1.0,3,3,4,3,0.9230769231,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,5,3.912028104,4.112011259e-05,0.8166666667,1.0
9ca5b5d8-d558-4f71-a37a-4585f976618d,boston_streets_10277,match,Brad,2026-01-12 03:07:12.530971+00:00,6caa76cb,review,0.7482906417,30.15502005,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,False,0.9946480656,0.9975371942,0.9946480656,0.9971037384,3.330126695,2.910254833,0.9998110985,1,0.1913819141,0.9993451052,2.910254833,2.839014002,1.0,4,4,3,4,0.9333333333,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,5,2.916319638,4.083706611e-06,0.895,1.0
83413653-0c09-4b07-a901-0bf14d5ee98f,boston_streets_7561,match,Brad,2026-01-12 03:08:01.768886+00:00,6caa76cb,review,0.7467537419,11.30284278,1.0,1.0,1.0,0.8,0.0,1.0,0.0,1.0,False,0.5974799676,1.0,0.5974799676,0.5974799676,4.424121777,1.798539526,0.9991009932,1,13.11564772,0.9137556234,1.798539526,1.19725343,1.0,3,3,4,3,0.9230769231,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,5,1.80368811,1.876254003e-05,0.9283333333,1.0
e5417e0e-11d8-4b0b-bddb-a72ed60082d8,boston_streets_5144,match,Brad,2026-01-12 03:08:03.678563+00:00,6caa76cb,review,0.7462501025,57.32965998,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.982585351,0.9949265093,0.982585351,0.9875959097,2.9695799010000004,2.424340498,0.9991843215,1,1.12782099,0.9968692223,2.424340498,2.350726507,1.0,6,3,3,7,0.9473684211,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,8,2.3681552100000003,4.232856948e-06,0.9692857143,0.9
ca954cc7-5125-4e5d-9dda-73f47b470c7d,boston_streets_9205,match,Brad,2026-01-12 03:08:05.402999+00:00,6caa76cb,review,0.7457455155,27.05080637,1.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,False,0.8470479106,1.0,0.8470479106,0.8470479106,4.228719702,2.302579073,0.9991130842,1,3.158428364,0.9987079282,2.302579073,1.3681529000000001,1.0,4,4,2,4,0.8571428571,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,4,1.831086213,1.666086917e-05,0.9616666667,1.0
e30326a3-1ae9-45a4-98cb-6a01367a9b0b,boston_streets_7401,match,Brad,2026-01-12 03:08:07.635544+00:00,6caa76cb,review,0.7455379996,73.24674125,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.9902072574,0.9610847276,0.9610847276,0.9705894604,1.666801833,1.331946021,0.9991037213,1,0.6525574918,0.9966363104,1.331946021,1.299226798,1.0,3,3,2,3,0.9090909091,0.3333333333,0,0,1,1,1,1,1.0,1.0,0.0,0.0,3,1.883333963,1.2928437e-05,0.9066666667,1.0
8fc70c28-6806-4e82-92fb-d4f8e3d7eb2b,boston_streets_3057,match,Brad,2026-01-12 03:08:09.620467+00:00,6caa76cb,review,0.7455102482,31.74398751,1.0,1.0,1.0,0.4,0.0,1.0,0.0,1.0,False,0.941574288,0.9732264808,0.941574288,0.9674770534,1.051086742,0.6463017621,0.9995987672,1,0.5337063293,0.9988234236,0.6463017621,0.6461196686999999,1.0,4,3,4,3,1.0,1.0,0,0,1,1,1,1,1.0,1.0,0.0,0.0,5,1.209095308,1.098581101e-05,0.9966666667,1.0
