gers_id,target_id,label,confidence,reasoning,labeler,dataset
004328a8-19e6-4578-8db4-685a1ca47092,austin_sidewalk_9345_88489e2211,match,0.85,Red segment overlaps a portion of the longer blue segment following same path with minimal offset - both are footway class,claude_opus_geometry_only,us_austin_sidewalks
01acedb3-2eee-4c9b-b8d6-c9d6cad47a7a,austin_sidewalk_11688_88489e3511,match,0.85,Red segment overlaps directly on blue segment path - both are footways with small red segment matching a portion of longer blue reference line,claude_opus_geometry_only,us_austin_sidewalks
0e2c091d-120e-45e7-a5ff-bc767c0c73e6,austin_sidewalk_1238_88489e350b,match,0.85,Red segment overlaps directly on blue line path with same heading - short target segment sits exactly on longer reference footway,claude_opus_geometry_only,us_austin_sidewalks
1ad984e4-55d9-4131-8183-b4a684fbab1d,austin_sidewalk_5461_88489e371b,match,0.85,Short red segment overlaps portion of long blue footway - same physical sidewalk path with subsegment coverage,claude_opus_geometry_only,us_austin_sidewalks
1dfc65ca-b74e-4833-88e6-28b20d60324b,austin_sidewalk_4663_88489e2239,match,0.85,Short red segment lies directly on longer blue footway path with same heading - subsegment match,claude_opus_geometry_only,us_austin_sidewalks
3dabbe95-75ca-4069-abba-02826ba35363,austin_sidewalk_1434_88489e3469,match,0.85,Red segment is a very short subsegment that lies directly on the longer blue footway line with same heading,claude_opus_geometry_only,us_austin_sidewalks
46b1c22c-62a3-4f81-b26d-e696069bda79,austin_sidewalk_10689_88489e3589,match,0.85,Short red segment overlaps directly on longer blue segment - same footway path with different extents,claude_opus_geometry_only,us_austin_sidewalks
4ca01f95-8d0b-4455-a534-31f369c73f0b,austin_sidewalk_10680_88489e22dd,match,0.85,Red segment overlaps blue segment along same path - both footways with red being a subsegment of the longer blue line,claude_opus_geometry_only,us_austin_sidewalks
55c03a0f-b354-48a9-984d-4154b66e9647,austin_sidewalk_10914_88489eadb9,match,0.85,Short red segment overlaps directly on long blue footway line - same physical path with subsegment relationship,claude_opus_geometry_only,us_austin_sidewalks
699122d6-cfd3-4273-90eb-d7bd7ec2d725,austin_sidewalk_7038_88489e3721,match,0.85,Blue segment is short subsegment that overlaps with and follows the same path as the longer red segment - both are footways,claude_opus_geometry_only,us_austin_sidewalks
6b6587a1-35b2-4108-aa79-3cb9b5ee3495,austin_sidewalk_11409_88489e3589,no_match,0.75,Red segment is tiny 7.8m piece while blue is 630m; likely different footway segments despite same class,claude_opus_geometry_only,us_austin_sidewalks
730fe303-a906-4890-a035-06fe68b130c2,austin_sidewalk_581_88489e35c7,match,0.85,Short red segment lies directly on long blue footway indicating subsegment overlap of same physical path,claude_opus_geometry_only,us_austin_sidewalks
7a709dfe-cb46-41bf-9f5d-41eccb55a6ab,austin_sidewalk_4392_88489e3503,match,0.85,Short red segment overlaps directly on longer blue line with same footway class and no parallel offset,claude_opus_geometry_only,us_austin_sidewalks
7d9967f6-ea61-4f07-9d76-1d1f7e600560,austin_sidewalk_3232_88489e35d7,no_match,0.85,Target (4.3m) is tiny segment on long reference (730m) path - likely separate sidewalk segment not same physical feature despite both being footways,claude_opus_geometry_only,us_austin_sidewalks
8203cf97-1fb1-455a-a193-4569f422b4a4,austin_sidewalk_11204_88489e3533,match,0.85,Both footway features with target segment appearing as small portion along the reference line path - geometries overlap on same trajectory,claude_opus_geometry_only,us_austin_sidewalks
848c3981-0216-4bae-a7c6-e0aa77b660c8,austin_sidewalk_2040_88489e3519,match,0.85,Blue and red segments follow same diagonal path with slight offset consistent with digitization error - both are footway features with similar lengths,claude_opus_geometry_only,us_austin_sidewalks
84e5e9f7-4837-41b3-ae7d-f1471b892825,austin_sidewalk_8786_88489e366b,match,0.85,Red segment follows same path as portion of blue segment with both being footway class,claude_opus_geometry_only,us_austin_sidewalks
8e58ca10-8f0e-4a6d-b072-899bbea43d31,austin_sidewalk_1359_88489e22c5,match,0.85,Red segment overlaps blue segment along same path on western portion - short target segment is subsegment of longer reference footway,claude_opus_geometry_only,us_austin_sidewalks
936ee107-3558-4b3f-bcee-9e818b386de4,austin_sidewalk_3609_88489e22cb,match,0.85,Red segment overlaps blue path at endpoint - same footway feature with different lengths (743m vs 8m subsegment),claude_opus_geometry_only,us_austin_sidewalks
95d8a4f2-24c8-4410-affe-77b7b7433c99,austin_sidewalk_4665_88489e3545,match,0.85,Short red segment overlaps with blue line on same path - subsegment of longer footway,claude_opus_geometry_only,us_austin_sidewalks
99acd6cd-3095-4f97-9f68-2120f3b3e0e5,austin_sidewalk_10633_88489e2747,no_match,0.95,Red segment is tiny (~6m) and does not overlap with the very long blue reference (~2478m); red appears offset/separate from blue path,claude_opus_geometry_only,us_austin_sidewalks
9a57266d-0c56-488b-b384-b91bf5d91684,austin_sidewalk_7395_88489e2731,match,0.85,Red segment overlaps along portion of blue segment on same path - both footways with small target as subsegment of longer reference,claude_opus_geometry_only,us_austin_sidewalks
9af41050-1df5-4e9c-969f-6bf2bee7d6fe,austin_sidewalk_7176_88489e3551,match,0.85,Both footways with red segment overlapping small portion of longer blue segment along same path,claude_opus_geometry_only,us_austin_sidewalks
a369972f-c5aa-4d44-bd56-515ce9f3554d,austin_sidewalk_2116_88489e2663,no_match,0.85,Blue segment is a long footway (~265m) while red is a very short segment (~8m) that appears perpendicular or at a sharp angle to the blue line - likely a connecting spur or driveway rather than the same linear feature,claude_opus_geometry_only,us_austin_sidewalks
af253524-5670-4847-9698-07091f6d4ba8,austin_sidewalk_1235_88489e360d,match,0.85,Red segment overlaps left portion of blue segment along same diagonal path - both footways following same physical feature with length difference,claude_opus_geometry_only,us_austin_sidewalks
b32503fd-e8f7-4f79-b33b-8a615002a062,austin_sidewalk_5291_88489e3727,match,0.85,Short red segment lies directly on the long blue footway path with same heading and class - subsegment match,claude_opus_geometry_only,us_austin_sidewalks
b42e3aa6-7108-4160-a085-cf0a9f669ae5,austin_sidewalk_5342_88489e350b,match,0.85,Short red segment overlaps directly on longer blue footway path - same physical feature with different digitized lengths,claude_opus_geometry_only,us_austin_sidewalks
b80e521d-396f-4b8e-9f70-dd91aa96ed29,austin_sidewalk_11615_88489e35e9,no_match,0.85,Red segment is tiny perpendicular stub not overlapping the long blue diagonal line - different physical features despite both being footways,claude_opus_geometry_only,us_austin_sidewalks
b80e521d-396f-4b8e-9f70-dd91aa96ed29,austin_sidewalk_1668_88489e35e9,match,0.85,Red segment overlaps blue segment along same diagonal path - short target segment sits directly on longer reference footway with same class type,claude_opus_geometry_only,us_austin_sidewalks
b8d86b61-098f-4139-80f0-fe174fb086f2,austin_sidewalk_8263_88489e3645,match,0.85,Blue and red segments follow same diagonal path with near-perfect overlap despite large length difference (750m vs 17m) - red segment is subsegment of blue footway,claude_opus_geometry_only,us_austin_sidewalks
bc185a01-f9b2-421d-b276-3421e5c68901,austin_sidewalk_2700_88489e35b3,match,0.85,Short red segment overlaps directly on longer blue footway segment with same heading,claude_opus_geometry_only,us_austin_sidewalks
c5447c0a-c553-469c-8211-e31df637e874,austin_sidewalk_9101_88489e274d,match,0.85,Short red segment lies directly on top of longer blue footway line indicating same physical sidewalk feature,claude_opus_geometry_only,us_austin_sidewalks
c590b2de-c4fb-442f-a19d-9f7a70d19a87,austin_sidewalk_8464_88489e366b,match,0.85,Short red segment overlaps and follows same path as portion of longer blue footway with minimal offset,claude_opus_geometry_only,us_austin_sidewalks
c9e5b58f-f802-4be5-b19a-51d7797da6b2,austin_sidewalk_6923_88489e3589,match,0.85,Short red segment overlaps directly on longer blue line indicating same physical footway feature with different digitization lengths,claude_opus_geometry_only,us_austin_sidewalks
d9d27893-0a5b-4fa6-b426-eeeb335e50b4,austin_sidewalk_2944_88489e3661,match,0.85,Red segment overlaps with portion of blue segment along same path - both footways with small red segment contained within longer blue line,claude_opus_geometry_only,us_austin_sidewalks
d9d27893-0a5b-4fa6-b426-eeeb335e50b4,austin_sidewalk_6465_88489e3661,match,0.85,Short red segment overlaps and follows same path as portion of longer blue footway segment,claude_opus_geometry_only,us_austin_sidewalks
dc98868b-c35b-4cb1-8379-c626ed65b96f,austin_sidewalk_2671_88489e3667,match,0.85,Short red segment overlaps directly on long blue footway line with same heading and class,claude_opus_geometry_only,us_austin_sidewalks
ddeb1af5-680d-4722-89b9-53d0765251a5,austin_sidewalk_8569_88489e3727,match,0.85,Short red segment overlaps directly on long blue footway path - same physical feature with subsegment match,claude_opus_geometry_only,us_austin_sidewalks
e0cd9aa2-b249-42ea-8ccc-c4635fc39528,austin_sidewalk_6744_88489e22c1,match,0.85,Red segment overlaps with portion of blue segment along same diagonal path - both footways following same physical feature with small length difference,claude_opus_geometry_only,us_austin_sidewalks
e1b7869a-4f5a-4248-bd56-494d74156207,austin_sidewalk_3288_88489e274b,match,0.85,Short red segment lies directly on long blue footway line indicating subsegment overlap of same physical feature,claude_opus_geometry_only,us_austin_sidewalks
e7053e83-f644-46ff-8179-bfd4ccbee21d,austin_sidewalk_10436_88489e3537,match,0.85,Blue and red segments follow the same diagonal path with slight offset consistent with digitization error - both are footway class segments representing the same sidewalk,claude_opus_geometry_only,us_austin_sidewalks
f090f2cb-72ff-4734-9037-5402c0e3cebf,austin_sidewalk_10082_88489e35c5,no_match,0.85,Red segment is a very short perpendicular stub that does not follow the same path as the long diagonal blue segment,claude_opus_geometry_only,us_austin_sidewalks
f265eaf6-b02c-4f26-8f6d-71c41ba0a1e5,austin_sidewalk_1607_88489e20d9,match,0.85,Red segment overlaps directly on blue segment path - same footway with red being a short subsegment of the longer blue line,claude_opus_geometry_only,us_austin_sidewalks
fe9993c1-50de-43d8-92e0-69a5e223f134,austin_sidewalk_995_88489e371b,match,0.85,Red segment overlaps with blue segment along same diagonal path - short target segment lies directly on longer reference footway,claude_opus_geometry_only,us_austin_sidewalks
