gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,ref_data_version,target_data_version,feature_version,hausdorff_distance_m,mean_hausdorff_distance_m,hausdorff_p95_m,buffer_iou_5m,buffer_iou_15m,heading_delta,length_ratio,centroid_distance_m,collinear_gap_ratio,name_levenshtein,name_jaro_winkler,name_token_sort,name_soundex,name_metaphone,has_name_ref,has_name_target,name_is_generic,class_similarity,min_endpoint_proximity_m,max_endpoint_proximity_m,shared_endpoint_count,lateral_offset_m,lateral_offset_iqr_m,lateral_offset_p95_m,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match,ref_coverage,target_coverage,min_coverage,coverage_ratio,graphlet_similarity,endpoint_degree_similarity,sinuosity_ref,sinuosity_target,sinuosity_delta,heading_consistency_ref,heading_consistency_target,heading_consistency_delta,vertex_density_ref,vertex_density_target,vertex_density_ratio,min_length_m,shape_complexity_ref,shape_complexity_target,shape_complexity_delta,name_numeric_match,has_parallel_sibling_ref,offset_vs_half_corridor_ratio,offset_over_expected_halfwidth,likely_representation_mismatch
d7f5a9a6-c499-407f-9bd5-bca029f616fe,sp_road_138215,match,brad,2026-01-25T00:15:20.515676+00:00,c5e0208e,match,0.7999613285,0.9469042521,1,0,0.06418506876,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,1.912187181,1.844951008,1.912186175,0.6417933645,0.8586118062,2.129352025,0.9999999999,1.845116103,1,0.9333333333,0.9196428571,0.9333333333,1,1,1,1,0,1,0,0,2,1.844897618,0.06723114051,1.905441843,3,3,3,3,1,1,0,0,1,1,1,1,0.05309574787,0.06418506876,0.05309574787,0.827228963,0.9144444444,1,1,1,0,1,1,0,0.5513830225,0.5513830225,0.9999999999,3.627242621,0,0,0,0.5,1,0.4298787715,0.3883994168,1
e1abda90-d7e9-4ba0-80fa-cbae0b5d5793,sp_road_70873,match,brad,2026-01-25T01:11:10.706373+00:00,6c949023,review,0.749980092,0.9282833152,1,0.9288475157,1,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,0.8975669398,0.518003606,0.897523139,0.8860568865,0.9584811543,8.475116072,1,0.5192303433,1,0.8947368421,0.92,0.8947368421,1,1,1,1,0,1,0,0,2,0.5180354569,0.3794903323,0.8596055616,3,3,3,3,1,1,0,0,1,1,1,1,0.07171668477,0.07115248431,0.07115248431,0.9921329261,1,1,1,1,0,1,1,0,0.3882363267,0.3882363267,1,5.151501451,0,0,0,0.5,1,0.4758247039,0.1480100883,1
22370405-3ee2-4718-bab0-9af1c4bbb31f,sp_road_21237,match,brad,2026-01-25T01:11:18.320080+00:00,6c949023,review,0.7499661446,0.06104319582,1,0.08790401535,1,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,18.08536686,8.172571341,16.57734433,0.2548812112,0.6070754329,7.596096707,1,6.358337972,1,0.3414634146,0.5948853616,0.3414634146,0,0.4,1,1,0,0.8,3.646222514,inf,2,6.767745912,7.367283787,14.31315284,3,3,3,3,1,1,0,0,1,1,1,1,0.9389568042,0.9120959847,0.9120959847,0.9713929124,0.9066666667,1,1.070105501,1.108513118,0.03840761721,0.9456296554,0.9382989721,0.007330683307,0.05618254271,0.02809127136,0.5,213.5894785,5,3,2,0.5,0,0.4993232254,1.640665278,0
4fd128d6-60dc-4ad6-9674-a625100a503c,sp_road_30126,no_match,brad,2026-01-25T01:11:23.188299+00:00,6c949023,review,0.7499528527,0.09581426526,0.8602266939,0,1,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,5.705254263,3.670225045,5.693959257,0.4455305185,0.7079392963,0.07038236112,1,2.78967241,1,0.5,0.5,0.5,0.5,0.5,0,1,0,0.9,0,0,4,3.420659038,3.407259603,5.195877228,3,3,3,3,1,1,0,0,1,1,1,1,0.7644124287,1,0.7644124287,0.7644124287,1,1,1.150707604,1,0.1507076038,0.433342162,1,0.566657838,0.4253066344,0.09451258541,0.2222222222,21.16120294,5,0,5,0.5,0,0.2566922042,0.456087811,1
312ac770-9695-45ee-aff9-550027cb1d09,sp_road_39066,no_match,brad,2026-01-25T01:11:25.882452+00:00,6c949023,review,0.7499379516,0.8715881773,1,0.0413382978,1,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,6.867677695,3.493328066,6.866552863,0.4602852293,0.756025115,34.7720441,1,3.531986427,1,0.35,0.5793650794,0.3,1,0.32,1,1,0,1,0,0,4,3.453668587,3.374349628,6.518344888,3,3,3,3,1,1,0,0,1,1,1,1,0.1284118227,0.9586617022,0.1284118227,0.1339490483,0.9133333333,1,1,1,0,1,1,0,0.1632577393,0.1632577393,1,12.25056778,0,0,0,0.5,0,0.3807684658,0.9867621714,1
d1cb5e16-c13d-4ab4-83a8-13c3230b25b9,sp_road_190573,no_match,brad,2026-01-25T01:11:28.783783+00:00,6c949023,review,0.7499356866,0,0.06866149566,0,0.08976147097,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,2.574837441,1.506086073,2.566213033,0.6910593649,0.8789692081,35.78142865,1,1.568821099,1,0.5,0.5,0.5,0.5,0.5,0,1,0,1,0,0,3,1.481659057,1.025629328,2.411762554,4,4,5,5,0.8888888889,0,0,0,1,1,1,1,0.06866149566,0.08976147097,0.06866149566,0.7649328261,0.8,0.9,1,1,0,1,1,0,0.5537992159,0.5537992159,1,3.611417175,0,0,0,0.5,0,0.499851834,0.4233310381,0
ee051f0b-347c-4fcf-9907-42f983aab20d,sp_road_137768,no_match,brad,2026-01-25T01:11:30.630390+00:00,6c949023,review,0.7499271035,0.9242771843,1,0,0.09497944041,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,3.352496441,2.004579572,3.345659005,0.666028692,0.8633186014,25.10041954,1,1.617389275,1,0.4705882353,0.5920634921,0.3921568627,0,0.5,1,1,0,1,0,0,2,1.836953694,1.404804192,3.159649635,3,3,3,3,1,1,0,0,1,1,1,1,0.07572281565,0.09497944041,0.07572281565,0.7972548093,0.9966666667,1,1.000001233,1.004329083,0.004327850552,1,1,0,0.3296639975,0.3296639975,1,9.100174792,0,1,1,0.5,0,0.3889629505,0.5248437627,1
5d5669db-42dc-477e-95dc-26fceb895e86,sp_road_130553,no_match,brad,2026-01-25T01:11:33.082109+00:00,6c949023,review,0.7499230504,0,0.02836655339,0.9344490044,1,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,7.172782108,4.079773775,7.172379653,0.4588795465,0.6664062565,0.07800796906,1,7.171434107,1,0.8717948718,0.8295900178,0.8717948718,0,0.9166666667,1,1,0,0.8,0,0,2,3.048792879,3.093413746,6.552389965,3,3,3,3,1,1,0,0,1,1,1,1,0.02836655339,0.06555099561,0.02836655339,0.4327402373,1,1,1,1,0,1,1,0,0.1398356381,0.1398356381,1,14.30250562,0,0,0,0.5,0,0.4996951207,0.7391011249,0
316c1dde-3e62-4efe-8c6c-ce68f2bdefb6,sp_road_164132,no_match,brad,2026-01-25T01:11:35.684883+00:00,6c949023,review,0.7499150038,0.7319078131,1,0,0.2130640196,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,3.467631006,2.324061914,3.465315493,0.5932032449,0.8262666829,55.12197208,1,0.8356712165,1,0.2857142857,0.5212912088,0.3333333333,1,0.3333333333,1,1,0,0.8,0.1020143098,0.1020143098,2,2.005407534,1.379574317,3.304878828,3,3,3,3,1,1,0,0,1,1,1,1,0.2680921869,0.2130640196,0.2130640196,0.7947416227,0.8266666667,1,1,1.005103215,0.005103215113,1,1,0,0.3075530886,0.4613296329,0.6666666667,6.502942334,0,1,1,0.5,0,0.4997994592,0.4861592842,0
282dc84f-5a2a-4817-bd9c-8a0438a7279b,sp_road_183179,match,brad,2026-01-25T01:12:12.575356+00:00,6c949023,review,0.7499008775,0.1208970896,1,0,0.8629984106,True,1769266318173203254_90723453,1769305206392415703_39198593,2026-02-01,2.885870275,2.449453189,2.885447808,0.562225433,0.8193984425,7.893478772,1,2.452915,1,0.9135802469,0.8144348894,0.9135802469,1,0.9583333333,1,1,0,1,0,0,5,2.449578505,0.4357129756,2.842125339,4,3,4,3,1,1,0,0,1,1,1,1,0.8791029104,0.8629984106,0.8629984106,0.981680757,0.9966666667,1,1,1,0,1,1,0,0.3139376159,0.3139376159,1,6.370692451,0,0,0,0.5,0,0.4997550421,0.6998793728,0
