gers_id,target_id,label,labeler,labeled_at,session_id,original_decision,original_confidence,ref_start_pct,ref_end_pct,target_start_pct,target_end_pct,is_subsegment,name_levenshtein,name_jaro_winkler,name_token_sort,class_similarity,perpendicular_offset,offset_consistency,parallel_alignment,side_of_street,ref_coverage,target_coverage,min_coverage,coverage_ratio,hausdorff_distance_m,mean_hausdorff_distance_m,buffer_iou,overlap_ratio,heading_delta,length_ratio,projection_distance_m,centroid_distance_m,collinear_gap_ratio,from_degree_ref,to_degree_ref,from_degree_target,to_degree_target,degree_match_score,degree_signature_similarity,is_dead_end_ref,is_dead_end_target,dead_end_match,is_intersection_ref,is_intersection_target,intersection_match
1fe424ca-72bf-43ce-be61-dec8adb749be,boston_sidewalk_72814,no_match,brad,2026-01-14 04:22:42.195838+00:00,4435904e,no_match,0.4999783125,0.06,0.39,0.0,0.89,True,0,0,0,1.0,0.5152865746,0.5310496335,0.9663166183,right,0.4035080087,0.9559654544,0.4035080087,0.4220947596,8.518423044,7.516778707,0.999052667,1,5.553737133,0.9828371135,7.516778707,6.940127373999999,1.0,4,3,6,3,0.875,0.3333333333,0,0,1,1,1,1
410eb133-8acf-4c16-ac77-e06c025f017b,boston_sidewalk_102253,no_match,brad,2026-01-14 04:22:49.976464+00:00,4435904e,no_match,0.4999700659,0.03,1.0,0.55,1.0,True,0,0,0,0.9,0.3291018182,0.3429701898,0.9986814737,right,0.9751258009,0.453930107,0.453930107,0.4655092774,11.51625485,11.0021956,0.9993164124,1,0.8421361237,0.9998420791,11.0021956,10.80725343,1.0,3,6,3,4,0.875,0.3333333333,0,0,1,1,1,1
2f298f0d-e95a-4c05-89a3-f0ba2c7cc9f7,boston_sidewalk_102723,match,brad,2026-01-14 04:37:22.054986+00:00,00b607d3,review,0.7497268972,0.07,1.0,0.4,0.98,True,0,0,0,1.0,2.359603429,2.425581182,0.9398987734,right,0.9891054493,0.6061667748,0.6061667748,0.6128434286,1.244876145,0.4213787363,0.9994577146,1,6.861163908,0.9841381131,0.4213787363,0.221422662,1.0,3,3,3,3,1.0,1.0,0,0,1,1,1,1
707ea39b-0db1-48ae-8e9d-af82e3ee1c61,boston_sidewalk_12897,match,brad,2026-01-14 04:37:30.785292+00:00,00b607d3,review,0.7495926371,0.2,0.94,0.0,1.0,True,0,0,0,0.9,0.7562456709,0.3813959611,0.9969385262,right,0.7398855264,1.0,0.7398855264,0.7398855264,1.4305936989999999,1.016695844,0.999292094,1,1.180459801,0.9983652813,1.016695844,0.7338602992000001,1.0,2,3,4,3,0.8333333333,0.3333333333,0,0,1,1,1,1
0f13a367-aadd-4e71-a5ca-a47769c3f6fb,boston_sidewalk_1295,match,brad,2026-01-14 04:37:50.376010+00:00,00b607d3,review,0.749210954,0.0,0.94,0.0,0.81,True,0,0,0,0.9,4.303710023,0.1754757786,0.9908014357,left,1.0,0.8555410126,0.8555410126,0.8555410126,4.447442572,4.152603904,0.9993816572,1,0.7457635958,0.9961939527,4.152603904,4.2784747560000005,1.0,5,4,3,3,0.8,0.0,0,0,1,1,1,1
a9bdfa12-1d91-4e6c-9bbb-4e18847329df,boston_sidewalk_12330,no_match,brad,2026-01-14 04:37:58.028684+00:00,00b607d3,review,0.7491776343,0.05,0.93,0.0,1.0,True,0,0,0,0.6,2.450870507,0.231576247,0.9928878261,left,0.8771908426,1.0,0.8771908426,0.8771908426,2.441483145,2.12123544,0.9993957385,1,0.3998261977,0.9984349582,2.12123544,2.297577359,1.0,4,1,5,5,0.6666666667,0.0,1,0,0,1,1,1
6191ec57-07d1-4636-81d5-792adbe02967,boston_sidewalk_103004,match,brad,2026-01-14 04:38:01.427896+00:00,00b607d3,review,0.7490810252,0.0,1.0,0.36,0.99,True,0,0,0,1.0,2.56097563,3.254028081,0.9503287979,right,0.9845533229,0.6733890499,0.6733890499,0.6839538644,1.162462424,0.7485243666,0.9997469628,1,1.056461737,0.9880909684,0.7485243666,0.9977414071999999,1.0,3,8,3,3,0.7058823529,0.3333333333,0,0,1,1,1,1
9e6722e8-5308-47fa-aa55-0076f328a3f0,boston_sidewalk_102307,match,brad,2026-01-14 04:38:04.306303+00:00,00b607d3,review,0.7490336766,0.0,0.77,0.02,0.97,True,0,0,0,0.9,0.5103294136,0.2802735828,0.8468945976,right,0.7483404349,0.9799099547,0.7483404349,0.7636828581,0.8798599729000001,0.36975417039999997,0.9988725392,1,2.430306067,0.9696805853,0.36975417039999997,0.4654565931,1.0,3,1,5,3,0.6666666667,0.3333333333,1,0,0,1,1,1
c69d1947-708d-40cb-894c-6618712ca926,boston_sidewalk_1884,match,brad,2026-01-14 04:38:07.543161+00:00,00b607d3,review,0.7489199703,0.05,1.0,0.25,1.0,True,0,0,0,1.0,2.685084213,2.578291632,0.8996142661,right,0.9479563465,0.7849471794,0.7849471794,0.8280414834,4.203806999999999,1.8380452,0.9991621445,1,11.71273891,0.9712062314,1.8380452,1.7995715300000001,1.0,4,2,5,5,0.75,0.0,0,0,1,1,1,1
fc6d3475-ca3e-4160-a377-f209a43686ce,boston_sidewalk_12701,match,brad,2026-01-14 04:38:16.796317+00:00,00b607d3,review,0.7488968504,0.0,1.0,0.42,0.94,True,0,0,0,1.0,1.973539847,2.063824931,0.9760249563,left,1.0,0.5128047938,0.5128047938,0.5128047938,0.41759284999999996,0.2826811467,0.9988035474,1,2.581875175,0.9903456067,0.2826811467,0.28653811830000003,1.0,3,4,5,3,0.9333333333,0.3333333333,0,0,1,1,1,1
7d978f23-01d2-413b-8025-2663a76ca5e8,boston_sidewalk_5555,no_match,brad,2026-01-14 04:38:27.772553+00:00,00b607d3,no_match,0.4999390325,0.03,0.61,0.0,1.0,True,0,0,0,0.85,5.347369779,1.732571748,0.996151253,left,0.02569894231,0.08623681283,0.02569894231,0.2980043147,3.471241147,3.3442240649999997,0.9988373201,1,7.912888797,0.9986392434,3.3442240649999997,3.422991598,0.0,4,4,5,5,0.8888888889,0.0,0,0,1,1,1,1
d65fedc4-fc2a-4cf9-8774-df43cb94b519,boston_sidewalk_59225,no_match,brad,2026-01-14 04:38:38.635243+00:00,00b607d3,no_match,0.4998731066,0.0,0.58,0.53,1.0,True,0,0,0,0.9,3.660734638,0.6041811106,0.990710564,right,0.9205979205,0.8704820053,0.8704820053,0.9455615594,13.97233269,13.71045445,0.9988447511,1,2.242786655,0.9922860703,13.71045445,13.843680729999999,1.0,1,1,1,3,0.6666666667,0.3333333333,1,1,1,0,1,0
2640d786-cf4d-4e82-84f4-edaea28ca331,boston_sidewalk_2134,no_match,brad,2026-01-14 04:38:41.641137+00:00,00b607d3,no_match,0.4998667749,0.0,0.93,0.0,1.0,True,0,0,0,1.0,2.228202884,0.031268081,0.9927943239,right,0.9627795313,0.9788370347,0.9627795313,0.983595325,10.850131750000001,10.68146774,0.9989057991,1,2.135473581,0.9984584573,10.68146774,10.68620746,1.0,4,4,5,5,0.8888888889,0.0,0,0,1,1,1,1
7f74f8b6-5faf-42d7-8f1a-2f603660c77c,boston_sidewalk_103633,no_match,brad,2026-01-14 04:38:45.678333+00:00,00b607d3,no_match,0.4997795996,0.03,0.81,0.0,1.0,True,0,0,0,0.85,0.5064313602,0.1182272259,0.9498315556,right,0.6436280734,1.0,0.6436280734,0.6436280734,13.38173175,7.196598345999999,0.9996226525,1,47.4901343,0.9280759922,7.196598345999999,8.825863201,1.0,1,1,3,8,0.3076923077,0.0,1,0,0,0,1,0
2b8fab81-345b-4508-9e07-98f9df710f06,boston_sidewalk_103803,match,brad,2026-01-14 04:38:48.529349+00:00,00b607d3,no_match,0.4997769794,0.09,0.68,0.0,1.0,True,0,0,0,0.9,11.92268025,2.412962941,0.9753650806,left,0.5400033854,1.0,0.5400033854,0.5400033854,7.798954139,3.5054104379999997,0.9988722888,1,1.674295386,0.940954951,3.5054104379999997,4.485589727,1.0,1,3,3,5,0.6666666667,0.3333333333,1,0,0,1,1,1
667fdd7c-8500-4169-890d-8dde6bcca7a5,boston_sidewalk_103957,no_match,brad,2026-01-14 04:38:52.121506+00:00,00b607d3,no_match,0.499670434,0.07,0.55,0.02,1.0,True,0,0,0,1.0,1.018847298,0.3695491022,0.9758406159,left,0.4929288109,1.0,0.4929288109,0.4929288109,8.885166019,7.634910013000001,0.9997261251,1,2.299229014,0.996459309,7.634910013000001,7.7362153849999995,1.0,4,1,5,3,0.7692307692,0.0,1,0,0,1,1,1
560d7684-bc1d-4294-9f3f-844d21865f45,boston_sidewalk_73059,no_match,brad,2026-01-14 04:39:00.407330+00:00,00b607d3,no_match,0.4996552887,0.0,1.0,0.34,1.0,True,0,0,0,0.9,3.247931682,2.650817257,0.9820356222,left,0.8702492903,0.9310851329,0.8702492903,0.9346613532,10.56095979,10.20654784,0.9987955258,1,2.839857714,0.9773079095,10.20654784,10.32981502,1.0,3,3,1,5,0.6666666667,0.0,0,1,0,1,1,1
4c826e33-fde9-45de-967a-2338799e936a,boston_sidewalk_103622,no_match,brad,2026-01-14 04:39:02.124619+00:00,00b607d3,no_match,0.4995866236,1.0,1.0,0.0,0.0,True,0,0,0,0.85,4.005723467,0.1773536404,0.9904757309,right,0.08909981513,0.02545519275,0.02545519275,0.2856929917,2.238237584,1.6576130089999999,0.9990067602,1,3.094177177,0.9953950795,1.6576130089999999,2.222429096,0.0,4,4,5,5,0.8888888889,0.0,0,0,1,1,1,1
6723ebf7-f30a-45f9-8aac-9dc6ec013f52,boston_sidewalk_22328,no_match,brad,2026-01-14 04:39:08.868116+00:00,00b607d3,no_match,0.4995816459,0.44,1.0,0.37,1.0,True,0,0,0,0.8,0.2500028655,0.1284358846,0.9159894207,left,0.5275523403,0.6136881857,0.5275523403,0.8596423276,7.049954384,6.627261537,0.9993446308,1,0.443015212,0.9812383079,6.627261537,6.838683585,1.0,4,3,5,3,0.9333333333,0.3333333333,0,0,1,1,1,1
e6337a88-1019-4b85-b4da-6014b324de15,boston_sidewalk_2258,no_match,brad,2026-01-14 04:39:12.657602+00:00,00b607d3,no_match,0.4995728804,0.0,0.16,0.0,0.63,True,0,0,0,0.8,0.4140614845,0.1263912262,0.9676927702,right,0.1673700471,0.6501538635,0.1673700471,0.2574314428,6.411911180000001,6.377042338,0.9993072338,1,0.6059485457,0.9998741891,6.377042338,6.399834125,1.0,4,4,4,5,0.9411764706,0.3333333333,0,0,1,1,1,1
